,Table 35,,,,,,,,,,,,
,Government Revenue Collection,,,,,,,,,,,,
,Heading,Amount (Rs. in million),,,,,Growth Rate During Ten Months (y-o-y),,Composition During Ten Months,,,,
,,2023/24,,2024/25R,,2025/26P,,,,,,,
,,Ten Months,Annual,Ten Months,Annual,Ten Months,2024/25,2025/26,2024/25,2025/26,,,
,Value Added Tax,244625.22573267002,310450.48946065,269601,341932.48362747004,297970,10.209811434011257,10.522587082392135,28.921106303541922,29.981940602411917,,,
,Customs,162391.71132302,201023.63030340997,184458.2,230905.91805632002,198114.9,13.588432868403416,7.403682785585005,19.78752011587493,19.93445368410503,,,
,Income Tax,217702.72510037004,283464.61031137995,229089.4,297813.27591413003,234314.1,5.230377752221614,2.280638039123602,24.575275649625322,23.57684138842033,,,
,Excise,119382.43911605,146352.16301648002,142412.5,175164.66037343,157907.8,19.290995438251016,10.880575792153067,15.277120824674848,15.888788402381246,,,
,Educational Service Tax,2730.6665162400004,3263.79297928,3380.6,4059.01504144,5257.9,23.801276351201153,55.53156244453646,0.36264958946648496,0.5290534130732006,,,
,Non-Tax Revenue,85100.36360004001,114341.65523832,93490.2,128944.79039270998,94987.5,9.858755057018385,1.601558238189682,10.029042965491207,9.557705752161633,,,
,Total  Revenue,831933.13138839,1058896.34130952,922431.8999999999,1178820.1434054999,988552.2000000001,10.878130128148527,7.168041348093041,98.9527154486747,99.46878324255336,,,
,Other Receipts,22336.759567459998,23853.13242022,9762.73035196,17369.61754743,5279.4,-56.292987250566725,-45.92291490525405,1.047284551325293,0.5312167574466337,,,
,Total Revenue/Receipts,854269.89095585,1082749.47372974,932194.63035196,1196189.76095293,993831.6000000001,9.121793969458452,6.61202796510085,100,100,,,
,Source: Ministry of Finance,,,,,,,,,,,,
,R:Revised,,,,,,,,,,,,
,P: Provisional,,,,,,,,,,,,
