,Table 26,,,,,,,,,,
,Number of Nepalese Obtaining Labor Permit for Foreign Employment,,,,,,,,,,
,Countrywise,,,,,,,,,,
,Ten Month Data,,,,,,,,,,
,S.No.,Country,2023/24,,2024/25R,,2025/26P,Percent Share,,Percent Change,
,,,,,,,,Ten Months,,During,Ten Months
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,2024/25,2025/26,2024/25,2025/26
,a) Institutional and Individual (New ),,,,,,,,,,
,1,UAE,131026,102474,201148,160750,80145,39.63166588594956,23.887514530118327,56.8690594687433,-50.14307931570763
,2,Malaysia,81382,74539,10219,2708,50176,0.6676363994970539,14.9551429167536,-96.36700250875381,-
,3,Saudi Arabia,73095,57857,77247,64508,43923,15.90394714134267,13.091413072635689,11.495583939713438,-31.910770757115394
,4,Qatar,40932,34384,49178,40541,33051,9.995069155099728,9.850973145360795,17.906584457887398,-18.47512394859525
,5,Romania,12700,8892,22373,18711,22641,4.613051946451025,6.748234031772525,110.4251012145749,21.003687670354342
,6,Kuwait,28776,24369,38480,32371,22514,7.980819013337935,6.710381210694168,32.83680085354344,-30.450094220135306
,7,Japan,10500,8703,18744,15247,13664,3.759029609723626,4.072605883580222,75.19246236929796,-10.382370302354559
,8,Oman,2905,2379,5293,4142,6811,1.0211779788466755,2.0300438138952637,74.1067675493905,64.43746982134235
,9,South Korea*,12837,10885,13735,11267,6616,2.7777914745691676,1.9719233405859737,3.509416628387685,-41.279843791603795
,10,Cyprus,5930,4401,7525,5874,6388,1.4481891472103745,1.9039670948704956,33.4696659850034,8.750425604358192
,11,Turkey,275,90,1589,1107,4420,0.2729222652301472,1.3173973950105808,-,299.2773261065944
,12,Bahrain,5116,3806,6540,5631,4340,1.3882793816720493,1.2935530982683079,47.95060430898581,-22.926656011365655
,13,Maldives,5958,4815,7920,6676,4117,1.6459160277113483,1.227087121099222,38.65005192107995,-38.331336129418816
,14,Malta,4766,4371,2689,2171,2556,0.535243213924706,0.761825280915621,-50.3317318691375,17.73376324274527
,15,Jordan,1976,1057,1808,1578,1754,0.38904366263159196,0.5227862060743346,49.290444654683064,11.15335868187579
,16,Israel,333,103,788,557,903,0.13732403047262148,0.269142499478406,-,62.11849192100538
,17,Poland,1649,1553,313,252,601,0.062128645743448146,0.17913027927632558,-83.7733419188667,138.4920634920635
,18,Lebanon,14,13,26,19,17,0.004684302655259979,0.005066913057733003,46.153846153846146,-10.526315789473683
,19,Afghanistan,28,27,7,7,0,0.0017257957150957817,0,-74.07407407407408,-
,20,Other,39904,28589,40335,31493,30873,7.764354922215921,9.201812166552413,10.157752981916124,-1.9686914552440204
,,Total,460102,373307,505957,405610,335510,100,99.99999999999999,8.653199645332133,-17.28261137545919
,,b) Renew Entry,,,,,,,,,
,1,Qatar,93737,78284,91614,75892,77159,27.073924242099928,23.64200708411467,-3.055541362219616,1.669477678806719
,2,UAE,62412,52341,73442,61791,74855,22.04349408163702,22.936046867914353,18.054679887659763,21.142237542684207
,3,Saudi Arabia,68407,58007,75310,65232,63781,23.271046041225198,19.54290301626405,12.455393314599972,-2.22436840814324
,4,Malaysia,22060,18688,38968,31118,54810,11.101122312834892,16.794131705702835,66.5132705479452,76.13599845748442
,5,Kuwait,11592,9314,20585,17553,15695,6.261906290802457,4.809047566520817,88.45823491518145,-10.585085170626108
,6,Romania,2321,2035,5501,4845,6047,1.7284188445814337,1.852839161181993,138.0835380835381,24.809081527347775
,7,Japan,3364,2965,4327,3674,5364,1.3106730309581398,1.6435636283413613,23.912310286677908,45.998911268372346
,8,Bahrain,4690,3952,5084,4443,3940,1.585008240758578,1.2072409947175546,12.424089068825905,-11.321179383299572
,9,Oman,3005,2508,3308,2862,3076,1.0209978809477942,0.9425059136424361,14.114832535885169,7.4772886093640745
,10,Cyprus,1020,908,1657,1476,2551,0.526552366274963,0.7816425831280411,62.55506607929515,72.8319783197832
,11,Malta,902,794,1768,1579,2528,0.5632968742196252,0.7745952372197914,98.86649874055415,60.10132995566815
,12,Maldives,1497,1243,2041,1667,2406,0.5946902402305986,0.7372136632716844,34.1110217216412,44.331133773245355
,13,Poland,320,273,853,686,1634,0.24472555776736088,0.5006679658295645,151.28205128205127,138.19241982507288
,14,Israel,672,617,554,488,618,0.1740904842426707,0.18935912049123066,-20.907617504051867,26.639344262295083
,15,South Korea*,189,154,489,404,334,0.14412408941401428,0.10233971884153889,162.33766233766235,-17.32673267326733
,16,Jordan,227,208,244,203,299,0.07241878750258639,0.0916154968072459,-2.4038461538461564,47.290640394088676
,17,Turkey,226,192,207,181,229,0.06457044599984303,0.07016705273865989,-5.7291666666666625,26.519337016574585
,18,Afghanistan,417,398,79,75,192,0.026755709668443248,0.05883001801669301,-81.15577889447236,156
,19,Lebanon,47,40,31,30,43,0.010702283867377298,0.013175472784988542,-25,43.333333333333336
,20,Other,4090,3477,7247,6115,10803,2.1814821949670726,3.310107732470493,75.87000287604258,76.66394112837284
,,Total Renew Entry,281195,236398,333309,280314,326364,100.00000000000003,100,18.577145322718458,16.428005736424154
,* Included EPS,,,,,,,,,,
,Source: Department of Foreign Employment.,,,,,,,,,,
