Table 46,,,,,,,,,,
Deposit Details of Banks and Financial Institutions,,,,,,,,,,
(Mid-Month),,,,,,,,,,
,,,,,,,(Rs. in million),,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,
,,,,,Amount,Percent,Amount,Percent,,
1. Non Residential Deposits,73751.46278826948,81312.00376682814,82710.91684108796,100052.18800328886,7560.540978558667,10.251377657774684,17341.271162200894,20.96612131082839,,
Of which: FCY Deposits,20204.002730569482,21919.402632617355,23420.30618277709,31074.23221190164,1715.3999020478732,8.490396308709675,7653.926029124548,32.68072573172899,,
2. Resident FCY Deposit,94572.7617540294,132997.5314881614,132915.9518332846,206698.05704714512,38424.76973413199,40.62984840610817,73782.10521386052,55.510346347596276,,
3. Municipality,2480.3459638500112,2642.4435615200005,2749.817459920291,2456.030133160002,162.09759766998923,6.535281772482262,-293.78732676028903,-10.683884695706494,,
4. Non-banks Financial Institutions,1196919.6028734455,1243814.9322388954,1336268.593611292,1360891.9096492263,46895.32936544996,3.9180016145502434,24623.316037934273,1.842692117113168,,
4.1 Insurance Companies,601357.1998231199,648193.3646405999,663427.8696076031,670675.500122709,46836.16481748002,7.788410088256392,7247.630515105906,1.092451922375925,,
4.2 Employees Provident Fund,187411.36681453,175117.98886615003,182229.54476924002,175631.7859340982,-12293.377948379959,-6.559569015120621,-6597.758835141809,-3.620575820181436,,
4.3  Citizen Investment Trust,124402.57235271,131035.20998471,133486.22110105,128942.94067165999,6632.637631999998,5.3315920294597605,-4543.280429390012,-3.40355760460903,,
4.4 Others,283748.4638830857,289468.36874743557,357124.9581333991,385641.6829207592,5719.904864349868,2.0158364158428252,28516.724787360115,7.985083130680574,,
5. Govt Institutions & Corporations,333199.4040309302,348045.47554863995,373431.80655696755,349405.42416576494,14846.071517709759,4.455611666199628,-24026.382391202613,-6.43394107554075,,
6. Non Govt Institutions & Corporations,418616.1406481279,433470.75637400814,487087.4043177455,469178.09988984186,14854.615725880256,3.548505249434817,-17909.30442790361,-3.676815345489964,,
7. Inter Bank Deposits,42557.9066013682,32407.087266622795,40212.1297783407,31585.195678890606,-10150.819334745407,-23.851782536735644,-8626.934099450093,-21.45356176607384,,
8. Non Profit Organisations,198642.52840498104,183539.06730316704,199823.89656633354,200767.6614018051,-15103.461101813999,-7.603337121757696,943.7648354715493,0.47229828448383654,,
9. Individuals,4039874.9107041983,4335190.738637684,4560133.379171459,5159702.9497047225,295315.8279334856,7.310024059185747,599569.5705332635,13.14807091546521,,
10. Others,94329.2778839868,91186.25490153112,88753.13792282192,100128.98779105037,-3143.0229824556736,-3.3319697266432997,11375.849868228455,12.817405823015163,,
Total,6494944.341653187,6884606.291087058,7304087.0340592535,7980866.503464896,389661.94943387154,5.99946556793263,676779.4694056427,9.265764033886681,,
"R= Revised, P = Provisional",,,,,,,,,,
