Annex 18,,,,,,,,,,,,,,,,,,,
Monetary Statistics (A),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(Rs. In Million),,,,,,,
"Fiscal
 Year",Mid-Month,"Broad Money
 (M2)",% Change (Y on Y),"Money Supply
(M1+)",% Change (Y on Y),Currency with Public,% Change (Y on Y),Saving and Call Deposit,% Change (Y on Y),Time Deposit,% Change (Y on Y),"Total 
Deposits","% Change 
(Y on Y)",,,,,,
,June,2504628.8026739494,16.83781844646607,1567395.8487023783,-0.06511153866613673,351955.85463524994,11.197147034896823,1029426.4527694039,-6.0078865884735375,937232.953971571,62.92257058324473,2220250.7821709784,15.460259321130756,,,,,,
,July,2591701.9945694054,15.464970861942861,1623172.4922257666,-0.69191704092436,361745.91183873,10.462609508006663,1053770.105498925,-6.844492295150065,968529.5023436387,58.75013060134487,2299807.59813133,14.031593061702885,,,,,,
2017/18,August,2615589.850573271,16.32995911663721,1622250.714815441,-0.9807741109610848,364748.28399586,13.668774144791215,1074454.599825699,-6.023228305870025,993339.1357578299,62.814634635568055,2329330.9878227925,15.330218548435726,,,,,,
,September,2639437.361701216,15.85589909112004,1633073.411532702,-2.121113114317407,366829.43883411994,13.550862060257977,1075517.0553009086,-8.180942063916117,1006363.9501685147,65.04703563446242,2355404.731738427,15.420432096790911,,,,,,
,October,2699674.6807937725,14.152649602151868,1694196.5348597376,-2.7641689476617697,400872.287806,9.779545020232556,1100897.0532704452,-8.51862913940656,1005478.1459340348,61.4938864839641,2387125.3786899806,14.005532730904102,,,,,,
,November,2700463.1093405876,13.892078335352007,1686701.5591099695,-2.106695905063675,384311.66610051,6.5708072134506175,1119805.3971870914,-5.668838028027753,1013761.550230619,56.42730039251593,2409346.695380334,14.931619458542638,,,,,,
,December,2724035.3475584937,14.000343465456517,1709434.0571949368,-0.19188112028366602,388393.05082282005,8.095857893332779,1133371.759416593,-4.6097624860943505,1014601.2903635569,49.91662238993694,2429583.0088010496,13.987565712304987,,,,,,
,January,2764806.0969660752,13.987327000313726,1718607.1408525496,0.04036438462530332,386588.8694461579,8.301990675755404,1135299.0047727937,-4.512503517669943,1046198.9561135252,47.84664186783256,2457452.9227162963,13.707770629865761,,,,,,
,February,2790543.9192355303,13.493129904685938,1717509.8610948795,1.5637464149033318,397305.2555510679,11.532265807040146,1125556.1517644632,-3.2127566064672917,1073034.0581406513,39.77039873296436,2455759.151404207,11.804269921340579,,,,,,
,March,2827079.2440897557,14.220539966591476,1738625.874246383,5.886801384095758,403872.95392760786,11.61053064828424,1132958.8115772319,2.0521208016007884,1088453.3698433726,30.64482898458225,2487143.3183821137,13.018479974979591,,,,,,
,April,2873803.1390021173,16.61314732408619,1746794.4167908428,10.598129167437424,409164.62591939,15.4387068361758,1126570.734318882,6.541897651452132,1127008.722211275,27.34799244333843,2531173.810541451,15.292311452520153,,,,,,
,May,2900306.475994458,17.078931295188564,1752666.0142938986,12.046214920561388,406967.67612013995,14.714325201017466,1132762.585543997,9.747501864362716,1147640.4617005594,25.7015506551972,2556049.0731449826,16.00530595320119,,,,,,
,June,2947218.3516100664,17.670863980467168,1766803.6479564197,12.722236020921446,404471.35555736005,14.921047691203954,1145411.066991522,11.266916049232234,1180414.7036536462,25.94677754890931,2610174.4054326573,17.56214326745597,,,,,,
,July,3094466.6397536714,19.399014479201227,1878960.2463264198,15.758507202762258,415985.43141382997,14.993816875332241,1209565.2949770796,14.78455202564232,1215506.3934272516,25.500192868258587,2742102.9318979895,19.23184070380665,,,,,,
2018/19,August,3069546.6740825754,17.355810713587548,1814770.1967476024,11.867430858494878,411882.03236638004,12.92226733849555,1199271.0155345239,11.616723101103837,1254776.477334973,26.319041721605934,2731766.3618438463,17.27686516535836,,,,,,
,September,3098684.970907217,17.39945095381989,1830616.521740778,12.09640110561069,400814.17380667996,9.264451370253274,1221105.3627470115,13.536587516538273,1268068.449166439,26.004955657851426,2778194.7810532846,17.949783475335618,,,,,,
,October,3202641.289817787,18.630637706174635,1908281.3249095178,12.63636099146574,462253.0916712799,15.311810203000329,1232917.4985487591,11.99207908551663,1294359.964908269,28.73079043462238,2808873.143020295,17.667600038744656,,,,,,
,November,3201534.7764732335,18.555027298817645,1892029.2507643208,12.173326724301935,435257.99105167005,13.256512733036821,1254355.7640768087,12.015513340773557,1309505.525708913,29.172932768165822,2841367.339693238,17.931028570577155,,,,,,
,December,3252780.940450233,19.410379287686,1875182.7080473788,9.696112590878418,418829.81774028006,7.836588953633179,1217792.7925944128,7.448662142532633,1377598.2324028537,35.77729946600264,2911147.905903617,19.82088676773427,,,,,,
,January,3294006.249010781,19.14058829027528,1884686.182023681,9.663583795465005,409844.69655408,6.0156483918534205,1231709.7444871513,8.492101138911165,1409320.0669870994,34.70860955764241,2952847.65495062,20.15886968393068,,,,,,
,February,3325914.832570947,19.18518141373963,1911703.7650607913,11.306712605546087,416966.748429051,4.948712005007931,1248004.9299014672,10.878957744138203,1414211.0675101555,31.79554337359004,2979404.389932579,21.323151263793545,,,,,,
,March,3354558.90472382,18.65811373122293,1931641.4261648064,11.101615061497167,422263.776375057,4.553615751835069,1267223.110836304,11.850766143224405,1422917.4785590135,30.728381939206994,3008612.5130567853,20.966592106718128,,,,,,
,April,3382985.577445033,17.718069534147745,1955171.9752524947,11.929140399044599,427335.57886481297,4.44098824637955,1278671.1844793088,13.50118954158576,1427813.6021925393,26.690554744870354,3033520.1672635567,19.846379360832884,,,,,,
,May,3408507.863996963,17.52233400879653,1952703.7061393068,11.413337750261444,424071.7614275,4.202811749184422,1273251.1517548484,12.402295768215494,1455805.6257454057,26.852065113512207,3062731.761926124,19.82288580076888,,,,,,
,June,3440493.9091508915,16.736987175427586,1972207.192766788,11.625714325864621,418092.12706382107,3.367549103122927,1283203.2551588542,12.02993336961988,1468286.7163841035,24.387362495522076,3105742.413125975,18.98601130491023,,,,,,
,July,3582137.6497642044,15.759452816377854,2093758.3599650555,11.431754027717743,423204.34043245297,1.7353754418965455,1367115.602513678,13.025366070839835,1488379.2897991484,22.44931806590521,3235066.7569785174,17.977582801361702,,,,,,
2019/20,August,3569086.4215881834,16.274056091846532,2029579.6271554003,11.836729013556395,427593.2804945615,3.814501943169462,1357469.0176389497,13.191180313310232,1539506.794432783,22.691716193353457,3220859.959016113,17.90393219580264,,,,,,
,September,3576095.564543082,15.406877372761492,2008314.0255622896,9.706975858195296,413299.7913854575,3.1150638861388136,1353629.0327015105,10.852762914444366,1567781.5389807923,23.635403121288032,3249236.04719981,16.954940285646263,,,,,,
,October,3696691.173671437,15.426325933672047,2105924.5512072947,10.357132552620262,456003.40562454454,-1.3520052454683626,1390853.0082468153,12.809900896366436,1590766.6224641425,22.899862912314333,3331565.3882900197,18.608609882171102,,,,,,
,November,3694279.9053084655,15.390903527152474,2071077.199388073,9.463275927231168,444412.01679606445,2.103126406083079,1382218.7725000032,10.193520218508361,1623202.7059203924,23.955391867602575,3336382.145249224,17.421710971360323,,,,,,
,December,3711404.2160411784,14.0994208951392,2056537.6444481274,9.671320859693337,431254.17144337995,2.966444406974943,1368688.9906084335,12.390958374170378,1654866.571593051,20.126937786975567,3365557.3964377404,15.609289023502065,,,,,,
,January,3770560.221288637,14.467306260301399,2083474.3373919942,10.5475467090688,424838.68137010094,3.658455249534367,1381540.4541739677,12.16444948636837,1687085.8838966426,19.70920754029722,3434978.5455636065,16.327658821296318,,,,,,
,February,3783413.5355752483,13.755574812799793,2065062.3611986963,8.02208997757706,431112.667132603,3.3925771675673526,1367324.575616043,9.560831280049225,1718351.174376552,21.505991139064005,3443194.2061225483,15.56652791937601,,,,,,
,March,3843290.2319305018,14.569168140659587,2101258.5077807195,8.780981776347636,444491.46516348294,5.263934543294374,1382750.1658924615,9.116552094754288,1742031.7241497822,22.426757025568012,3494206.498708324,16.14013049351342,,,,,,
,April,3901018.747980875,15.312899173725755,2153950.090537543,10.166784190908713,451079.43179496296,5.556254640258103,1417849.3340406045,10.88459263418616,1747068.657443332,22.359715214965544,3547615.3449821468,16.947148836077762,,,,,,
,May,3958186.0975636463,16.12665293727992,2211768.208468054,13.266964236010182,465533.778387493,9.777122820068133,1455997.898815608,14.35276510913736,1746417.8890955923,19.96229841476169,3592517.8415158624,17.29782823868849,,,,,,
,June,4044083.690611583,17.543695684369247,2281568.2941955104,15.686034538527526,482686.63081452285,15.449825425878336,1498684.9047761532,16.792479971586687,1762515.3964160725,20.03891179759191,3666616.9250125135,18.059273348494155,,,,,,
,July,4230969.78441469,18.112987218489362,2368304.544550619,13.11260123590125,490396.40995969303,15.876980245188316,1512043.699055169,10.601012546050663,1862665.239864071,25.14721567480498,3839727.4096063534,18.690824581084563,,,,,,
2020/21,August,4244536.666591268,18.92501792384508,2307823.8352119247,13.709450190259515,504610.27024638304,18.01173995595591,1523597.493023633,12.238104385883602,1936712.8313793433,25.80086287263884,3834316.3332879986,19.04635352290449,,,,,,
,September,4270506.070853906,19.418119392442712,2306906.898959631,14.867837877781149,500650.953163303,21.135060698924683,1530203.2272486412,13.044504090957037,1963599.1718942747,25.24698901422207,3857725.2179286703,18.72714576256336,,,,,,
,October,4467986.661257597,20.864482623798228,2473912.774465262,17.473950956457827,531481.655982353,16.55212426636005,1608262.2393903043,15.631359306439983,1994073.8867923345,25.353012731902663,4027371.4719348815,20.88525970675892,,,,,,
,November,4502807.751476604,21.88593898925554,2483437.0530953705,19.91040478013734,564206.610196863,26.95575026626043,1625375.4494644,17.591764907417815,2019370.6983812333,24.4065630876462,4030752.0315857534,20.812060972249956,,,,,,
,December,4545662.7174436245,22.478244158819212,2495421.523345351,21.340911511250187,533920.436684303,23.806439923190922,1644863.3816856237,20.17802385875993,2050241.1940982733,23.89163146395642,4091066.0207114657,21.55686380632334,,,,,,
,January,4637223.877802524,22.985010334026537,2569060.260179382,23.306546861298216,523526.2018162992,23.22941030885697,1701247.373029362,23.141336027438236,2068163.6176231422,22.58792734643294,4191939.132493885,22.03683594786695,,,,,,
,February,4666806.7977287,23.349106669068785,2598663.390288911,25.83946321022857,526677.8805079317,22.16710866116454,1732956.8094796578,26.74070519787743,2068143.4074397886,20.356271656179207,4215354.738008905,22.425703740826826,,,,,,
,March,4712684.686255131,22.62109811800314,2640293.1965870988,25.652944976089113,531364.7562146159,19.544422752680113,1761037.6329019053,27.35761501538404,2072391.4896680322,18.964049904400316,4260472.516553618,21.929614581409357,,,,,,
,April,4833170.833573084,23.895093713012304,2728464.72134426,26.67260645131013,544804.1180109645,20.77786740198871,1818039.5532741232,28.225158317284084,2104706.1122288243,20.470715518923022,4364357.811082144,23.02229488479416,,,,,,
,May,4882812.185464239,23.359843754433903,2713565.4316595253,22.687604481802058,572553.9543529332,22.988702632091417,1788402.67202269,22.83003110632778,2169246.7538047135,24.21120782999361,4390294.136424402,22.206606344143243,,,,,,
,June,4910437.244197562,21.422740473873855,2765753.900242562,21.221613540074948,562162.3075037047,16.465274075453138,1829929.7765018835,22.10236926188336,2144683.3439550004,21.683098389723824,4427941.612855776,20.76368225569854,,,,,,
,July,5190928.76912911,22.688864105117208,2982791.069822454,25.94626297896297,571971.7619811043,16.634573656058397,1931122.6709325863,27.716062183869898,2208137.691560813,18.547210969693804,4662729.30257872,21.433862490169336,,,,,,
2021/22,August,5110613.520417104,20.404508709813328,2824356.267820169,22.38179642341773,566797.7036534131,12.323854085781129,1905430.9790847385,25.061309683789478,2286257.2482262384,18.048334847760916,4586716.167708975,19.622789801898783,,,,,,
,September,5200983.764333826,21.788464365626503,2872724.5803821627,24.527113845717142,549133.2057794031,9.683843066665663,1958240.284167999,27.972562682996248,2328259.171727836,18.570999878848784,4693941.492246566,21.676408429288955,,,,,,
,October,5301668.000904441,18.658993476318688,2908612.346035938,17.571337844141915,625423.8565481829,17.67553019157242,1921830.120856187,19.497310437678188,2393055.660584995,20.008374636230872,4718830.039238208,17.16897912501543,,,,,,
,November,5260446.554631704,16.82591940343553,2769846.440344765,11.532782233896848,580189.8987653431,2.8328786440313567,1861718.7507037693,14.540843552008242,2490600.1174501767,23.335458885616696,4725147.308320973,17.227437244807017,,,,,,
,December,5249846.4710338535,15.491333109427124,2664747.4660588233,6.78546454494287,557331.456572633,4.384739425543381,1774010.0736450409,7.851514806480171,2585099.024083479,26.087556504318705,4741164.4908013,15.890686358974412,,,,,,
