,Annex 10,,,,,
,Foreign Exchange Reserves (Monthly Series),,,,,
,Fiscal Year,Mid-Month,Gross Foreign Exchange Reserves (Rs. In Billion),Gross Foreign Exchange Reserves (USD In Million),Import Capacity in Months,
,,,,,Merchandise,Merchandise & Services
,2016/17,August,1041.9670567600333,9763.559377436592,15.06492518278775,12.717709870329365
,,September,1032.7036,9664.984557791297,14.143485966128065,12.012749033644187
,,October,1054.6091550086007,9903.36327362758,14.626797370480839,12.497145980573077
,,November,1061.2766998164675,9889.821077406274,14.361168375188411,12.38697512211111
,,December,1076.84058511803,9998.519824679945,14.332111065389258,12.42050146482148
,,January,1088.7819086287927,10031.158177895639,14.28167301703772,12.409031975277177
,,February,1077.394470843279,10104.046430116092,13.748597060753244,11.959928840616064
,,March,1074.1967418914064,10108.898817600513,13.853724296671151,11.968760188197264
,,April,1057.3004245120676,10255.096261028784,13.26474347076293,11.45285314497314
,,May,1058.2066359244009,10312.899677657158,13.239001587924598,11.436319390604282
,,June,1070.1826878141871,10413.37635315936,13.27830739612633,11.467156360819313
,,July,1079.432117189476,10494.18750913354,13.24530002201933,11.4294218613691
,2017/18,August,1078.7508409525187,10546.004897375295,14.191009069774573,12.005061774716985
,,September,1079.8778102458152,10564.251714398506,13.333487388499249,11.351732336291235
,,October,1099.7265480454967,10646.97984360051,13.036855440393678,11.161280497363727
,,November,1105.432337855071,10625.070529172155,13.457270403363259,11.56818202405943
,,December,1089.1498000000001,10610.324403312226,12.855985083914783,11.084228345628112
,,January,1067.3429214396274,10513.622157600743,11.750982564586272,10.19245572256169
,,February,1049.1986263619674,10212.172730795866,11.30252070138658,9.824568254357409
,,March,1049.220651892193,10134.460078162785,11.11545420446141,9.674007948649042
,,April,1064.3745758102878,10222.575641666232,11.100108206847052,9.662514218387551
,,May,1072.8500734180386,9986.503522461497,11.035812806232997,9.625964858954871
,,June,1094.0037480703663,10135.295053459016,11.0133049939905,9.615442911538809
,,July,1102.58521267308,10084.005969206877,10.763297108546904,9.422378895697591
,2018/19,August,1092.8721606509157,9798.029053710916,9.226556085351158,7.984367280905606
,,September,1117.4587574488337,9745.84648045381,9.734944972217,8.342338594604373
,,October,1120.9191561417736,9560.865569786536,9.195113285585121,7.880944139541194
,,November,1082.7596524957348,9425.136250833348,9.151371784915606,7.898343715097082
,,December,1065.8025028684408,9288.848701411887,8.96510632012437,7.794275630623284
,,January,1058.2013853280353,9407.907053058636,8.918852975996305,7.7779372855780915
,,February,1078.3585542621715,9494.264432665712,9.212415403299463,8.022119918612894
,,March,1061.710350558863,9568.406187444694,9.099310052343565,7.935318512543332
,,April,1050.8542049559,9522.919845545086,9.044062891267748,7.907614681859832
,,May,1060.696055326995,9423.383576110475,9.134898490770421,7.989232593740936
,,June,1030.8802569614227,9254.693033139623,8.849763779507507,7.748966133076906
,,July,1038.9188615432033,9499.989589824463,8.913390619685378,7.790507528459781
,2019/20,August,1064.6443285751468,9375.995848306004,10.225170187738309,8.825660699964962
,,September,1078.93649604599,9442.8189746717,9.597072450428684,8.35481122532675
,,October,1087.7253021773859,9541.450019099877,9.814315797859082,8.532541622023478
,,November,1103.12206350483,9629.20795657149,9.925317001453813,8.698915306976065
,,December,1088.31298395148,9631.08835355292,9.483456945475172,8.331220383691488
