,Table 16,,,,,,,,,
,Exports of Major Commodities to China,,,,,,,,,
,(Rs. in million),,,,,,,,,
,S.N.,Heading,2023/24R,,2024/25R,,2025/26P,Percent Change,,
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,2024/25,2025/26,
,,A. Major Commodities,1114.0735867,1017.6500035000001,1238.6433889999998,1166.8591583999998,512.7492179000001,14.662128864228885,-56.057317268428264,
,1,Agarbatti,20.4384308,16.4832934,24.3572429,21.463572600000003,16.331013300000002,30.214102722942492,-23.912884381605693,
,2,Handicraft ( Metal and Wooden ),265.2232726,245.9794876,209.419099,192.2388928,50.660976600000005,-21.847591977827996,-73.64686413757788,
,3,Noodles,149.8207418,148.72398180000002,24.3434942,20.166139,37.6736679,-86.44056005229952,86.81646447046703,
,4,Other handicraft goods,36.407459200000005,30.140960399999997,30.847541600000003,25.6790461,23.8118185,-14.803490800512108,-7.271405615023996,
,5,Pashmina,35.4246381,30.7123052,52.8228338,46.1136271,37.1100608,50.147072320706165,-19.524741093289542,
,6,Readymade Garments,160.0521463,129.2237443,150.3739225,138.42338759999998,119.2308247,7.119158595685415,-13.865115738577682,
,7,Readymade Leather Goods,14.768902800000001,14.647702800000001,2.08658,1.33708,1.9725313,-90.87174270084179,47.5253014030574,
,8,Rudrakshya,27.230936,24.7338345,20.4027686,17.6669497,12.2183346,-28.571731568754533,-30.840723455504037,
,9,Tanned Skin,12.1959249,12.105315800000001,0,0,0,-,-,
,10,Tea,0.87098,0.87098,7.02218,7.02218,0.24001129999999998,-,-96.58209701260863,
,11,Woolen Carpet,391.6401542,364.02839769999997,716.9677264,696.7482835,213.4999789,91.39943144605942,-69.35765986713048,
,,B. Others,1474.5401433,1256.8970751,1391.3859011,1224.1320050000002,880.9079293999998,-2.606822050038815,-28.03815880951501,
,,Total (A+B),2588.61373,2274.5470786,2630.0292901,2390.9911634,1393.6571473,5.1194405205132965,-41.71215817802466,
,"R= Revised, P= Provisional",,,,,,,,,
