,Table 13,,,,,,,,
,Direction of Foreign Trade*,,,,,,,,
,,,,,,,(Rs. in million),,
,Heading,2023/24R,,2024/25R,,2025/26P,Percent Change,,
,,Annual,Ten Months,Annual,Ten Months,Ten Months,2024/25,2025/26,
,TOTAL EXPORTS,152380.6056203,126172.9095754,277030.2020329,217911.0597902,248962.67034920002,72.70827828534617,14.249671672881515,
,To India,103177.0546877,86023.9221661,224684.3965647,176063.1495662,204370.7040581,104.66766119573924,16.078068898373488,
,To China,2588.61373,2274.5470786,2630.0292901,2390.9911634,1393.6571473,5.1194405205132965,-41.71215817802466,
,To Other Countries,46614.9372026,37874.440330699996,49715.776178199994,39456.9190606,43198.309143800005,4.178223403653281,9.482215470127775,
,TOTAL IMPORTS,1592985.5310723002,1303357.0413531999,1804122.7348253,1474188.300009,1692642.6427173,13.107019276808153,14.81861867354164,
,From India,996682.1641384,815729.5569284001,1071198.9399096998,880523.9926496,974297.75821,7.943127127228422,10.649768358750089,
,From China,298774.64433409995,240832.33820320002,341104.5971663,277144.74639840005,336409.1943763,15.077878853861293,21.38393339511704,
,From Other Countries,297528.7225998,246795.1462216,391819.1977492,316519.5609611,381935.690131,28.251939232586707,20.667325890149215,
,TOTAL TRADE BALANCE,-1440604.925452,-1177184.1317778002,-1527092.5327923999,-1256277.2402189,-1443679.972368,6.718839160841572,14.917306956579601,
,With India,-893505.1094507,-729705.6347624001,-846514.5433451,-704460.8430834,-769927.0541519,-3.4595856844685025,9.293094387185064,
,With China,-296186.03060420003,-238557.79112460001,-338474.5678762,-274753.755235,-335015.537229,15.172828327998156,21.93301487088226,
,With Other Countries,-250913.7853972,-208920.7058909,-342103.421571,-277062.64190040005,-338737.38098709995,32.61617163264052,22.260214752760167,
,TOTAL FOREIGN TRADE,1745366.1366927,1429529.9509285,2081152.9368582,1692099.3597992,1941605.3130665,18.367534636133897,14.745348836779225,
,With India,1099859.2188261,901753.4790945,1295883.3364744,1056587.1422158,1178668.4622681001,17.17028730255379,11.554306802965609,
,With China,301363.2580641,243106.8852818,343734.62645640003,279535.7375618,337802.8515236,14.984706104795475,20.844244986356443,
,With Other Countries,344143.65980240004,284669.58655229997,441534.9739274,355976.48002170003,425133.9992748,25.04900306808835,19.42755298015313,
,1. Ratio of export to import (%),9.565724399124122,9.680609807762423,15.355396652641035,14.78176565292708,14.708519333385423,,,
,India,10.35205187773108,10.545642417325167,20.975039107454727,19.995269979686224,20.976205922260775,,,
,China,0.8664101117982838,0.9444525164560219,0.7710330825057078,0.8627228892020603,0.4142743927923342,,,
,Other Countries,15.667373823703343,15.34650940691197,12.688448259756436,12.465870652919685,11.310361995492862,,,
,2. Share in total export,,,,,,,,
,India,67.71009622103436,68.1793916424609,81.1046575124024,80.79587595770025,82.0888946007229,,,
,China,1.6987816260884763,1.8027222216356575,0.9493655459947498,1.097232589159079,0.5597855876727337,,,
,Other Countries,30.59112215287718,30.017886135903453,17.945976941638936,18.10689145314068,17.351319811604363,,,
,3. Share in total import,,,,,,,,
,India,62.56693138119683,62.586807071796336,59.37505909282985,59.729411272917055,57.56074753297612,,,
,China,18.75564080817377,18.477848399327154,18.906950762378727,18.799819968501176,19.87479139933768,,,
,Other Countries,18.677427810629382,18.93534452887652,21.717990144785873,21.470768758588545,22.564461067686203,,,
,4. Share in trade balance,,,,,,,,
,India,62.02291090809345,61.987382862559336,55.433087725023874,56.07526909909244,53.330867566793565,,,
,China,20.55983742463393,20.26512120617245,22.1646403612016,21.870471456374197,23.205664942451882,,,
,Other Countries,17.417251667279565,17.747495931276696,22.40227191376799,22.05425944452542,23.46346749075455,,,
,5. Share in total trade,,,,,,,,
,India,63.015959557358364,63.08041874245435,62.267568784768045,62.44238177249735,60.70587334799545,,,
,China,17.266477888424845,17.00607147992238,16.516548129101793,16.520054566711273,17.3981215054509,,,
,Other Countries,19.71756255421106,19.913509777630264,21.215883086130162,21.037563660797286,21.89600514655365,,,
,6. Share of export and import in total trade,,,,,,,,
,Export,8.730581075042885,8.826181605600421,13.311381260193063,12.878147995757136,12.822516948926017,,,
,Import,91.2694189249514,91.17381839440657,86.68861873980694,87.12185200424287,87.17748305107398,,,
,* Based on customs data,,,,,,,,
,P= Provisional,,,,,,,,
,R= Revised,,,,,,,,
