Annex 20,,,,,,,,,,
Interest Rates,,,,,,,,,,
Fiscal Year,Mid-Month,Interbank Rate (Commercial Bank),Weighted Average 91 Days TB rate,"Weighted Average Deposit Rate
(Commercial Bank)","Weighted Average Lending Rate
(Commercial Bank)","Base Rate 
(Commercial Bank)",,,,
,July,6.992068185213566,10.664216608887488,7.4065960507324,11.620299693912473,9.5417696777586,,,,
2022/23,August,8.021862533816892,10.642646521739131,7.637347342677988,11.9352313050618,9.716983741172184,,,,
,September,8.499906528895378,9.09,7.805758849583307,12.060672464651923,10.005106428718225,,,,
,October,8.497582114039513,10.14114322653176,8.156465798866506,12.186941726100326,10.344957282097605,,,,
,November,8.497064652139995,10.880964347826087,8.319510568751951,12.649630175408365,10.597351812859308,,,,`
,December,7.9621780291429545,10.6659864010098,8.459647523999154,12.735165389766548,10.693651046404524,,,,
,January,7.484409518586796,10.893919805316362,8.507764414947133,12.78585747325813,10.913824406250901,,,,
,February,5.275233910848928,9.792892857142856,8.405799498098874,13.0333481903709,10.724862279815689,,,,
,March,7.18249157995945,9.334443977140621,8.374546580819562,13.034284933532549,10.6375305832792,,,,
,April,7.004595344528033,9.740045658238099,8.262332048072546,12.839437652453611,10.479652097888163,,,,
,May,7.006084484542006,9.658085552518548,8.083541376271501,12.649870217159112,10.274045903906298,,,,
,June,6.675826214152129,9.065888448221965,7.9935794016801145,12.534739692054348,10.182070387705506,,,,
,July,2.982260180598794,6.351926467471923,7.8602755862174645,12.2968211469067,10.02593375268152,,,,
2023/24,August,5.907426344365909,5.92235243198681,8.00497435260812,12.243697262021449,10.108775285196504,,,,
,September,5.863670760316232,5.951629117806818,8.062958035010555,12.234427425431878,10.144591341771251,,,,
,October,2.243,4.9416,7.899868047397173,12.10897667218951,9.936143148935539,,,,
,November,3.43274775707607,4.388068100531658,7.764857420907917,11.95612012774439,9.740907724997276,,,,
,December,2.0436230095046337,3.532086402133104,7.62,11.85,9.6415728407501,,,,
,January,2.826084973014322,3.3695,7.32,11.38,9.348543785989527,,,,
,February,3.035823907593124,3.3431,7.01,11.08,9.06,,,,
,March,2.923026210336056,3.0188,6.742109639154794,10.77524006184935,8.76630530657419,,,,
,April,3.072915387237716,2.997246544224263,6.53,10.55,8.510761353474045,,,,
,May,2.8775104937553637,3.0166937882764655,6.35,10.34,8.338184455222429,,,,
,June,2.952861556040822,2.991296100879376,6.172621684049208,10.154948961007413,8.172371808776674,,,,
,July,2.9888243327781123,2.9984952634122766,5.773187203927609,9.934009948215072,8.004528783345014,,,,
2024/25,August,2.993,2.9392,5.657782577186157,9.681970756181395,7.611218394361332,,,,
