,Table 30,,,,,,,,
,Gross Foreign Assets of the Banking Sector,,,,,,,,
,(Rs. in million),,,,,,,,
,Particulars,,2024,2025,2025,2026,Percent Change,,
,,,Mid-Jul,Mid-May,Mid-Jul,Mid-May,Mid-Jul to,Mid-May,
,,,,,,,2024/25,2025/26,
,A. Nepal Rastra Bank (1+2),,1957696.4617469534,2350277.2717939643,2558918.907254909,3578661.6139452835,20.053201184043147,39.85052843211463,
,"1. Gold, SDR, IMF Reserves Position",,109141.51913080331,139164.8294152741,144275.60415341915,280278.28691990336,27.50860582074968,94.26589031771601,
,2. Foreign Exchange Reserves,,1848554.94261615,2211112.44237869,2414643.3031014903,3298383.32702538,19.61302265917149,36.59919553288756,
,,Convertible,1400975.10587481,1693848.00116499,1814280.8465791403,2549240.75346048,20.904932147763006,40.509709853748376,
,,Inconvertible,447579.83674134006,517264.4412137,600362.45652235,749142.5735649,15.569201012205383,24.78171568295116,
,B. Bank and Financial Institutions*,,192547.79301099572,301834.55293885944,263040.40108143154,406167.1498491706,56.758251143196816,54.412458382554746,
,,Convertible,180616.9581696625,287454.36495306436,245402.50633927557,393087.2429577705,59.15137087130222,60.18061462433346,
,,Inconvertible,11930.83484133322,14380.187985795099,17637.894742155982,13079.906891400082,20.52960398023727,-25.842017527533727,
,C. Gross Foreign Exchange Reserves,,2041102.7356271455,2512946.9953175494,2677683.704182922,3704550.4768745503,23.117124457011997,38.34906905126684,
,,Convertible,1581592.0640444723,1981302.3661180544,2059683.3529184158,2942327.9964182503,25.27265476101573,42.85341444592413,
,,Share in total (in percent),77.48713655799962,78.8437786316176,76.92033789132368,79.42469713358122,-,-,
,,Inconvertible,459510.67158267327,531644.6291994951,618000.351264506,762222.4804563001,15.69799399182044,23.33690084426287,
,,Share in total (in percent),22.512863442000377,21.156221368382408,23.079662108676306,20.575302866418784,-,-,
,D. Gross Foreign Assets (A+B),,2150244.254757949,2652111.8247328238,2821959.308336341,3984828.763794454,23.340026086076875,41.20787468560883,
,Import Capacity in Months,,,,,,,,
,Gross Foreign Exchange Reserves,,,,,,,,
,,Merchandise,15.599653046224983,17.43254229581365,18.24382503630642,22.551647927852855,-,-,
,,Merchandise and Services,13.037015773118686,14.686911798549785,15.367878014409722,19.160871250181245,-,-,
,Gross Foreign Assets,,,,,,,,
,,Merchandise,16.433795199709156,18.397941398696396,19.22681599788661,24.257856896497294,-,-,
,,Merchandise and Services,13.73412899607129,15.500260261088318,16.19591079573539,20.610541379774,-,-,
,E. Foreign Liabilities,,160965.72698910968,161301.74260470766,157016.4034273561,160244.38430173538,0.20874978909064623,2.0558239801185607,
,F. Net Foreign Assets(D-E),,1989278.5277688394,2490810.0821281155,2664942.904908985,3824584.3794927183,25.211731155706502,43.5146836522315,
,G. Change in NFA (before adj. ex. val.)**,,-531721.3128884789,-501531.5543592761,-675664.3771401455,-1159641.4745837334,-,-,
,H. Exchange Valuation,,29230.232413849677,63010.5904512328,81124.95604455749,296081.1332893773,-,-,
,I. Change in NFA (G+H)***,,-502491.0804746292,-438520.9639080433,-594539.421095588,-863560.341294356,-,-,
,Reserves/GDP,,35.75176046900719,41.147145052919065,43.84455381954027,60.658532039015626,,,
,Reserves/ Imports,,108.64179810932238,122.39093165458155,128.06565012008102,159.67392708484368,,,
,Reserves/M2,,29.267049716671366,33.790140695053346,34.12972644616812,43.25829365445516,,,
,Sources : Nepal Rastra Bank and Commercial Banks;  Estimated.,,,,,,,,
,"* indicates the ""A"",""B"" & "" C"" class financial institutions licensed by NRB.",,,,,,,,
,**Change in NFA is derived by taking mid-July as base and minus (-) sign indicates increase.,,,,,,,,
,*** After adjusting exchange valuation gain/loss,,,,,,,,
,Period-end Middle Rate (Rs/USD),,133.66000000000003,136.54,137.3,153.14,,,
