Table 49,,,,,,,,,,,,,,,,,,,
Productwise Outstanding Credit of Banks and Financial Institutions,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,
,,,,,,,,(Rs. in million),,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,
a. Loan above Rs. 10 Million,55930.21568553,85738.23639926001,98927.89458066999,115946.8390234,29808.020713730017,53.295021927551424,17018.944442730004,17.203382842492452,,,,,,,,,,,
b. Loan above Rs. 5 Million to 10 Million,12427.676125820002,15050.915455659999,16029.736961690001,18392.64871933,2623.2393298399966,21.10804387949811,2362.9117576400004,14.740801819064163,,,,,,,,,,,
c. Loan above Rs. 2.5 Million to 5 Million,14423.058152649997,16626.705622750003,17566.067466889996,19504.591271780006,2203.647470100006,15.278642343233722,1938.52380489001,11.03561630139417,,,,,,,,,,,
d. Loan below Rs. 2.5 Million,7312.2651137425,8104.859271402501,8178.4147866225,8695.462285412501,792.5941576600007,10.839242633181033,517.0474987900006,6.32209923658726,,,,,,,,,,,
9. Hire Purchase Loan,124102.42567403078,129171.0864670499,128695.66007021857,140413.23529253236,5068.660793019124,4.084256021177653,11717.575222313797,9.104872080317616,,,,,,,,,,,
a. Business Purpose,87261.11149687276,86834.29208629491,86106.79485011355,94668.44915123738,-426.819410577853,-0.4891290097687436,8561.654301123825,9.943064674544129,,,,,,,,,,,
b. Personal Purpose,36841.314177158005,42336.794380755,42588.86522010501,45744.786141294986,5495.4802035969915,14.916623704493814,3155.9209211899724,7.410201950391837,,,,,,,,,,,
10. Deprived Sector Loan,312186.1414274724,291956.14374936407,296623.9212507874,279887.2699773521,-20229.99767810834,-6.480107536358466,-16736.651273435273,-5.642380831209123,,,,,,,,,,,
11. Bills Purchased,7814.996668119698,10366.014056217698,12372.205145369699,13351.6749580914,2551.017388098,32.6425908600135,979.4698127217016,7.916695538210247,,,,,,,,,,,
12. Other Product,465365.3415311622,487702.49259035254,544366.0693679696,621308.3226681448,22337.151059190335,4.7999171974637855,76942.25330017519,14.13428529619933,,,,,,,,,,,
a. Credit Card,5678.405270476801,6351.51002766925,6222.66104399884,7894.583393207547,673.1047571924491,11.853763955384789,1671.9223492087067,26.868285728355968,,,,,,,,,,,
b. Education Loan,54963.719806370085,68628.16845253002,85974.05809528,87755.20630407997,13664.448646159937,24.860851292994692,1781.1482087999757,2.0717275050876784,,,,,,,,,,,
c. Other Loans$,404723.21645431535,412722.8141101532,452169.3502286908,525658.5329708573,7999.597655837832,1.9765601108630289,73489.18274216657,16.252579416317893,,,,,,,,,,,
Total (1 to 11),5167173.058819973,5526700.3080016505,5592070.271562725,5888163.84208046,359527.2475662165,6.957910165061869,296093.5705177346,5.294882863390595,,,,,,,,,,,
"R = Revised, P = Provisional",,,,,,,,,,,,,,,,,,,
*Reclassified in accordance to NRB Directives Form no. 9.3(Ka) / Unified Directives (Feb 2023).,,,,,,,,,,,,,,,,,,,
"$Includes the loan products such as Cottage industrial loan, Small industrial loan, Medium industrial loan, Loan against Fixed deposit, Gold loan and bank specific other loans.",,,,,,,,,,,,,,,,,,,
# Includes personal residential home loan upto Rs.15 Million till Mid-July 2023.,,,,,,,,,,,,,,,,,,,
