Annex 2,,,,,,,,,,,,,,,,
Price Statistics,,,,,,,,,,,,,,,,
Fiscal Year,Mid-Month,CPI  (Base Year 2023/24 = 100)*,,,,,,WPI (Base year 2017/18=100),,,,,,,,
,,Overall Index,% Change,Food & Beverage,% Change,Non-food & Services,% Change,Overall Index,% Change,,,,,,,
2023/24,August,99.1649,7.52,99.67692,8.895651421685429,98.88316,6.623628548519676,150.1,4.34,,,,,,,
,September,99.94427,8.19,101.19798,9.77057272377904,99.25441,7.156632756279649,153.09,4.78,,,,,,,
,October,99.91293,7.5,101.06853,8.48376413362979,99.27708,6.845288557654584,151.9,2.78,,,,,,,
,November,99.62791,5.38,100.19175,5.983228666564173,99.31766,4.985565846715787,150.11,2.09,,,,,,,
,December,98.80891,4.95,97.8476,4.997668278138164,99.33786,4.919512906997852,147.62,2.63,,,,,,,
,January,98.452805,5.26,96.90794,5.749838066341681,99.302864,4.930862357265568,147,3.36,,,,,,,
,February,99.03703,5.01,97.17426,6.587706370648846,100.06202,3.9772765520478544,147.48,2.82,,,,,,,
,March,99.498215,4.82,98.29688,5.952704815192277,100.15924,4.071685149115666,149.18,3.69,,,,,,,
,April,100.18702,4.61,99.874016,5.22453864495202,100.359245,4.204402598362961,152.07703,4.937345,,,,,,,
,May,101.36901,4.4,101.35609,6.413284943594661,101.37612,3.088629076067349,153.86165,5.6776485,,,,,,,
,June,101.69791,4.17,102.398705,5.851783705368433,101.31229,3.0660920386689696,152.65,5.48,,,,,,,
,July,102.2991,3.57,104.0093,4.039107211229222,101.35807,3.257927376497477,154.43962,4.4086027,,,,,,,
2024/25,August,103.222786,4.092058782895961,105.826744,6.161982307731378,101.78997,2.9364660653896806,155.59929,3.6634257,,,,,,,
,September,103.80467,3.8625526005642996,106.32171,5.063075369686217,102.419685,3.189052254705871,157.3,2.75,,,,,,,
,October,104.728485,4.819751557681286,108.34544,7.19997609542753,102.738266,3.486389809208717,160.26816,5.5062613,,,,,,,
,November,105.20294,5.595851604234198,109.30443,9.095239877534823,102.94612,3.6533885313045005,157.85333,5.1603756,,,,,,,
,December,104.79062,6.053816401779983,107.62583,9.993326356497235,103.230545,3.918631828791149,157.25128,6.5238295,,,,,,,
,January,103.77598,5.406829190900169,104.33922,7.668391258755463,103.46605,4.192412819030068,152.88803,4.007872,,,,,,,
,February,103.15639,4.159413908110949,101.984535,4.950153466566135,103.80119,3.7368524041389435,152.60155,3.4711206,,,,,,,
,March,103.228836,3.749435102931244,101.57818,3.338152747065834,104.13711,3.971545710610428,155.78674,4.429032,,,,,,,
,April,103.58144,3.38808360603997,102.319855,2.4489242527305777,104.27635,3.903083368154057,158.46347,4.199475,,,,,,,
,May,104.172775,2.765899558454791,102.8981,1.5213787351110426,104.875984,3.452355446233298,159.93617,3.948045,,,,,,,
,June,104.46729,2.7231434746299215,102.9548,0.5430683913434109,105.30136,3.9373998949189684,155.0253,1.5583398,,,,,,,
,July,104.55471,2.2049167587984613,102.77502,-1.186701573801571,105.535385,4.121344260008115,156.05626,1.0467684,,,,,,,
2025/26P,August,104.961876,1.684792735588431,103.41609,-2.277925133934005,105.81494,3.9541911644143397,159.28253,2.3671286,,,,,,,
,September,105.7418,1.8661299149643327,104.89945,-1.3376948132229955,106.207245,3.698078157533871,160.60054,2.098551,,,,,,,
,October,106.267265,1.4693041725944767,105.597244,-2.5365128426263084,106.63777,3.7955711652754758,162.38097,1.3183001,,,,,,,
,November,106.36603,1.1055679622641748,105.67284,-3.3224545427847687,106.749916,3.694938672773688,162.04156,2.6532469,,,,,,,
,December,106.500824,1.6320201178311464,105.416115,-2.0531456064032056,107.10089,3.7492246117658397,161.62456,2.7810671,,,,,,,
,January,106.28665,2.419317071252891,104.246025,-0.08931924160444282,107.41318,3.814903535990794,160.79546,5.1720414,,,,,,,
,February,106.50496,3.246110105248931,104.530045,2.495976473295684,107.595245,3.655117055979801,162.0838,6.213733,,,,,,,
,March,106.96442,3.6187407944810985,105.23118,3.596244784066812,107.921486,3.6340320948027056,161.46077,3.642177,,,,,,,
,April,108.21069,4.46918868862993,106.4201,4.007281871148066,109.19872,4.720504697373855,164.68304,3.9249318,,,,,,,
,May,109.424385,5.041249981101117,107.664375,4.632034022008185,110.39467,5.262106527648896,169.4728,5.962767,,,,,,,
% Change y-o-y.,,"* As per revised food and beverage, non-food and services grouping",,,,,,,,,,,,,,
