,Annex 9,,,,,,
,Direction of Foreign Trade (Monthly Series),,,,,,
,(Rs. in million),,,,,,
,Fiscal Year,Mid-Month (Cumulative),Total Exports,,Total Import,,Total Trade Balance
,,,Amount,% Change*,Amount,% Change*,
,2016/17,August,6956.561388,7.678093028299784,70721.437892,13.011989263516128,-63764.876504
,,September,13181.344448,7.703920585932707,149019.02941199997,43.35915257832053,-135837.684964
,,October,18930.993199,12.623744135485708,220676.07997099997,69.11850910152384,-201745.08677199998
,,November,24521.863553000003,17.009783308076948,301656.251113,87.37181934795763,-277134.38755999994
,,December,30633.200252000002,17.056899209476327,382640.936993,78.94827310037599,-352007.736741
,,January,36274.383178000004,14.820821266588553,464608.37161,67.2503207471583,-428333.988432
,,February,42179.92318900001,15.24276728963541,556158.333821,60.81920943851847,-513978.41063199996
,,March,48217.725309,12.841146926852204,628560.6396999999,44.231083639929295,-580342.9143909999
,,April,55215.85675600001,12.14052601327505,726412.1385880001,39.70235679361187,-671196.2818320001
,,May,61024.67839,9.752944184496698,808677.743559,34.92403302302358,-747653.065169
,,June,67312.178246,8.297381331547655,896571.394632,30.933522349044267,-829259.216386
,,July,73049.066228,4.1814823144941755,990113.203932,27.98785955918723,-917064.137704
,2017/18,August,6707.79485,-3.5759986022565644,78159.994871,10.518107663986635,-71452.200021
,,September,13606.211077,3.2232419892833084,167738.649501,12.56189908286479,-154132.438424
,,October,20455.135542,8.051042684229108,260205.329579,17.912793091663925,-239750.194037
,,November,26377.589656,7.567638972418016,356225.98027,18.090037569471182,-329848.390614
,,December,33281.2589246,8.644407540890567,452145.51485100004,18.16443854758582,-418864.2559264001
,,January,40725.3702246,12.270331447839675,554720.614851,19.395311997658485,-513995.2446264
,,February,47180.4702246,11.855277718722999,661225.014851,18.8915052855822,-614044.5446264
,,March,52982.1702246,9.88110676119078,766533.313966,21.950574940844493,-713551.1437414
,,April,59300.9568256,7.398418334161019,875468.556052,20.519538364782257,-816167.5992264
,,May,66062.4058106,8.25522977508313,985000.926066,21.803887136920537,-918938.5202554
,,June,73575.42525907,9.304775415498014,1107872.262814,23.56765668045086,-1034296.83755493
,,July,81359.796,11.37691445098099,1245103.223,25.753622722671267,-1163743.427
,2018/19,August,6921.506249,3.186015729148295,120610.15279400001,54.311873987533296,-113688.64654500001
,,September,14698.989408000001,8.031466841251934,232346.61163700002,38.517039649597784,-217647.62222900003
,,October,23744.930089,16.082976034283192,373587.26042600005,43.57402326479887,-349842.3303370001
,,November,29281.70656,11.009788770974428,483757.83370700007,35.800828827908006,-454476.12714700005
,,December,37501.859534999996,12.681613456876528,606996.5966090001,34.24806321677871,-569494.7370740001
,,January,45412.419135,11.508916639802091,723937.5223310001,30.50488893863308,-678525.1031960001
,,February,53078.79133877,12.501615787403919,833268.4,26.018886352593306,-780189.60866123
,,March,61224.37424877,15.556561743752596,949106.649571,23.818056212113724,-887882.2753222302
,,April,69822.27260576999,17.7422361178968,1061633.679141,21.264627016249136,-991811.40653523
,,May,78533.80818176999,18.878214043438433,1178136.400935,19.607643988758937,-1099602.5927532301
