Annex 19,,,,,,,,,,,,,,,,,,
Monetary Statistics (B),,,,,,,,,,,,,,,,,,
(Rs. In Million),,,,,,,,,,,,,,,,,,
"Fiscal 
Year",Mid-Month,"Net Foreign
 Assets",% Change (Y on Y),"Net Domestic
 Assets","% Change 
(Y on Y)","Domestic
 Credit",% Change (Y on Y),Claims on Government,% Change (Y on Y),General Government Deposits,% Change (Y on Y),"Claims on
 Private Sector",% Change (Y on Y),,,,,
,July,1014634.8957572373,6.1354796789553,1577067.098812168,22.386305031441616,2177792.0340676117,20.60412288514012,255761.09999525,26.128740433325554,106272.09723108003,-7.604309171883397,1997159.9994325647,18.01411321908361,,,,,
2017/18,August,1009512.7854103781,5.799806151817723,1606077.065162893,24.093203300984943,2100097.632373456,18.82385694028197,280761.69999525,38.444090905164806,228942.2035587696,32.63439857212761,2016811.5132564057,17.904632399849955,,,,,
,September,1010636.4901320457,6.089094642659944,1628800.8715691706,22.87484188733907,2141527.0795266856,18.48954511193076,304418.79809525,49.498473358919334,258381.09799923995,37.0450864249357,2061569.231206458,16.835059432930418,,,,,
,October,1025424.8580087306,5.5264255322821745,1674249.8227850418,20.16903517538924,2192034.3167827185,20.93560836759794,313305.39959525,53.8626637463439,246040.80308249054,33.52722555339187,2092192.0544757424,18.534644414521996,,,,,
,November,1025842.112370234,5.012624099741558,1674620.9969703543,20.113665260000875,2222117.3233385733,18.631877727020647,352879.69359525,73.29670418881142,308740.2035888404,68.15595809405181,2144328.6953300023,17.54343875295704,,,,,
,December,1010490.8521258051,2.5464903023029883,1713544.4954326886,22.03866270816225,2240258.686180504,17.555678207311495,359833.99315325,82.72412372494195,348993.7992988006,86.8517739688782,2195748.160540413,17.66398547140044,,,,,
,January,1005319.3142656083,-0.11115092043423576,1759486.7827004667,23.9805683678293,2331180.9963526726,21.745371608387902,365534.90352149005,85.61458895299907,303173.9018543697,39.32988538228676,2234183.3633572566,17.294024941925095,,,,,
,February,1004769.2513237557,0.8246291105939942,1785774.667911775,22.12096041840556,2378528.8949547014,20.52404450482643,365576.69735607994,90.44003886212647,301639.5974797899,49.61436876783758,2278189.9051264036,16.67408298639766,,,,,
,March,1003101.3548839149,0.5639333192868061,1823977.8892058409,23.43311130957168,2431564.0644178838,21.598194762560134,359499.09692729,80.49293303785427,274025.2959371601,40.0145258037805,2308223.7733100606,17.39561827781721,,,,,
,April,1017958.6172089119,3.797937505205573,1855844.5217932058,25.07760165747026,2452564.556511321,24.59492303101124,370320.4322822901,70.1724385637586,288638.1979828896,23.002129672074066,2332845.1384076765,19.331875129180798,,,,,
,May,1030213.1777250756,5.000247835594589,1870093.2982693822,24.99403203805662,2508999.011868376,25.759795324661045,371081.50061729003,50.95124470011866,269507.60209390003,2.7284536553910157,2369378.745086177,19.613828484246774,,,,,
,June,1046424.4457863326,4.157896689246219,1900793.9058237332,26.715142698757198,2578215.3923033234,28.28277004689104,371070.99971229,48.4566335128165,248484.6031008502,-7.651601218614119,2417231.686099898,20.979033387596715,,,,,
,July,1054291.6968571884,3.908479913886124,2040174.942896483,29.36513255733529,2755893.0441511483,26.545280772460984,362128.10588888003,41.58842212346032,89497.80203899984,-15.784289224673758,2442783.993167292,22.312883988330345,,,,,
2018/19,August,1037899.4571764965,2.8119180040477527,2031647.2169060786,26.497492615649993,2734940.363603299,30.229200844932453,362156.50669888,28.990708741615073,141467.00368526916,-38.208420515637044,2473553.5002126526,22.646736393267474,,,,,
,September,1057217.3397140403,4.609060729234951,2041467.6311931766,25.335617559342715,2785578.944101507,30.07442075946888,362168.50082888,18.970478529897044,164799.0002411198,-36.21863150314325,2520752.031229202,22.273460093989865,,,,,
,October,1073704.025527,4.708211151816872,2128937.2642907873,27.1576819252334,2876905.401413066,31.243629690777052,362168.50714888,15.595999180593365,145228.59943412992,-40.97377442495224,2620345.5460789455,25.244025302234828,,,,,
,November,1028488.3199681719,0.2579546663203143,2173046.456505062,29.763478448940724,2897586.0996095887,30.397529832320984,362168.50665888,2.6322889166538865,169600.49798243993,-45.066921634766246,2666141.771623563,24.334565751509288,,,,,
,December,1010819.030963213,0.032477170547110315,2241961.9094870198,30.83768267837714,3014278.813450599,34.55047990862828,371419.59883588,3.2197085053317274,119380.29907893972,-65.7930028215977,2721507.1851408896,23.94441375604194,,,,,
