Annex 14,,,,,,,,,,,,,,
Government Budgetary Operations,,,,,,,,,,,,,,
(As percentage of Nominal GDP at Producers' Prices),,,,,,,,,,,,,,
Fiscal Year,Nepali Year,Expenditure,,,,Revenue,Foreign Assistance,,,Domestic Loan,,,,
,,Recurrent,Capital,Financial*,Total,,Foreign Grants,Foreign Loan,Total,,,,,GDP
1974/75,2031/32,3.2046262273357025,5.826757424251551,0.08734413589542799,9.118727787482682,6.065899644599723,1.7035118366363473,0.6264682850430697,2.329980121679417,0.6023733510029516,,,,16601
1975/76,2032/33,3.7852132919397494,7.122571001494769,0.0925606530987697,11.000344946533287,6.393009083592044,2.067954467057606,0.8393698976658618,2.907324364723468,1.1498217776244684,,,,17394
1976/77,2033/34,4.588541666666666,8.670717592592592,0.22685185185185186,13.48611111111111,7.705439814814814,2.271990740740741,0.9508101851851852,3.222800925925926,1.7361111111111112,,,,17280
1977/78,2034/35,4.169919399807371,9.165103665027626,0.22456531657119683,13.559588381406195,7.8744867440563695,2.365286156029807,1.9354184620063872,4.300704618036195,1.2166066811983576,,,,19727
1978/79,2035/36,3.7702847519902023,7.573484384568278,0.21662584200857318,11.560394978567054,6.881123698714023,2.2933251684017146,1.4933404776484998,3.786665646050215,0.7654623392529087,,,,26128
1979/80,2036/37,4.570253950580274,9.886514496167187,0.4064065778767505,14.863175024624212,7.952978459166631,3.4499593165174938,2.290694188685709,5.740653505203204,0.7708449316945741,,,,23351
1980/81,2037/38,4.6687662504119825,10.001464825868824,0.31603618119896,14.986267257479769,8.790420038817885,3.1819679935547662,2.5389094371406595,5.720877430695426,0.915516168015527,,,,27307
1981/82,2038/39,4.939331354072545,12.026913643991223,0.3349683748547825,17.30121337291855,8.635600877759133,3.205434361688395,2.3554279075771265,5.560862269265521,1.6135278172195688,,,,30988
1982/83,2039/40,5.628160018923154,14.73078856331865,0.2767511309541409,20.635699713195947,8.383253008485852,3.223145383046036,2.914757103574702,6.137902486620737,2.956742852074155,,,,33821
1983/84,2040/41,5.362687706795622,13.142784423517433,0.4237719521506745,18.929244082463732,8.669636039704761,2.231102061593281,4.252736065156529,6.483838126749809,4.013234919826928,,,,39290
1984/85,2041/42,5.8630089939253445,11.781612896301542,0.3749973168480477,18.01961920707494,8.407066348981477,1.982098010174512,3.7669306888187695,5.749028698993282,3.8635241591001783,,,,46587
1985/86,2042/43,5.815480676068468,11.147773351993399,0.6150644131051064,17.578318441166967,8.333333333333332,2.10446047296085,4.4875659382064805,6.59202641116733,2.5180320809559698,,,,55734
1986/87,2043/44,5.9260303144181385,11.552674433170488,0.5489790805461606,18.027683828134787,9.35597519729425,2.0122447701365402,4.236815733433547,6.249060503570086,2.5753162971314043,,,,63864
1987/88,2044/45,5.564585337945024,12.259121524978545,0.5168647439731621,18.34057160689673,9.479624476633813,2.7004394975684605,4.9616414844095384,7.662080981977999,1.469326190414272,,,,76906
1988/89,2045/46,5.760165789178895,13.810686680855829,0.5982973003248573,20.169149770359578,8.71132519323401,1.8826033381875207,6.3474851573877,8.230088495575222,1.489862215749972,,,,89270
1989/90,2046/47,5.67571749052371,12.568171269436066,0.7757020190299374,19.019590778989713,8.981105438230061,1.910149299914907,5.7627446429952816,7.6728939429101874,2.078981975709755,,,,103416
1990/91,2047/48,5.6752513084655645,13.275317770208526,0.6139403505856942,19.564509429259783,8.914513583118719,1.7984547644761988,5.197889839661045,6.996344604137243,3.782254714629891,,,,120370
1991/92,2048/49,5.818833744740345,11.046311719413728,0.8074280706683524,17.672573534822426,9.039381350886698,1.0996273923484985,4.560195869874972,5.65982326222347,1.390622595944798,,,,149487
1992/93,2049/50,5.765422163126772,11.321599776059344,0.9318613900649663,18.018883329251082,8.834225596883494,2.2121721077247867,4.036122094311674,6.248294202036461,0.9447496413450435,,,,171474
1993/94,2050/51,5.274699907663897,10.632803404391987,0.9525673451362962,16.860070657192182,9.826117066120679,1.2011722670520695,4.5985386807981055,5.799710947850175,0.913324501184311,,,,199272
1994/95,2051/52,7.579285958708794,9.03155013117372,1.210539523212045,17.82137561309456,11.212592677084523,1.796327135850348,3.3362837914908177,5.132610927341165,0.866887190601118,,,,219175
1995/96,2052/53,7.518450221563358,10.035835814119793,1.1439739989474234,18.69826003463057,11.205963529425945,1.9384684608678537,3.8020914938151082,5.740559954682962,0.8838429491428733,,,,248913
1996/97,2053/54,7.38928320612592,9.462149347802063,1.2310659399029635,18.082498493830947,10.827804771971351,2.134763451248249,3.2239582479243385,5.3587216991725874,1.0694691511623347,,,,280513
1997/98,2054/55,7.725971845967193,9.620873207133242,1.3067194070036066,18.65356446010404,10.948461832505112,1.7958117967724243,3.674487526799515,5.470299323571939,1.1301500772823214,,,,300845
1998/99,2055/56,9.339426259224176,6.722128664818908,1.3573717386473938,17.418926662690478,10.890958846437217,1.2678680021985989,3.4652592124805572,4.733127214679157,1.3770480300319263,,,,342036
1999/00,2056/57,9.375553377181888,6.714494265958344,1.3736139219158445,17.46366156505608,11.301964752508646,1.5050992389746185,3.112679979340585,4.617779218315203,1.449321190656885,,,,379488
2000/01,2057/58,10.381738310661266,6.411327515092526,1.2888699821029816,18.081935807856773,11.073962913743777,1.5295903347421764,2.7278641224243216,4.2574544571664985,1.5854373659580485,,,,441518.545626685
2001/02,2058/59,10.635475510149456,5.392056078273256,1.40058860140637,17.42812018982908,10.97974053227015,1.4552722608598718,1.6756628184363445,3.1309350792962163,1.7412405493870864,,,,459442.5510487903
2002/03,2059/60,10.582536122442148,4.541792376861979,1.9420768482254103,17.06640534752954,11.423442497270813,2.3036239264865075,0.9236364716292184,3.2272603981157255,1.8040318439501692,,,,492230.77906186244
2003/04,2060/61,10.349734106330928,4.302867380822266,2.0111632990369714,16.663764786190168,11.612689287744534,2.10217230884221,1.4213327308932981,3.5235050397355074,1.044771285360636,,,,536749.054896191
2004/05,2061/62,10.465763201522925,4.638656009513501,2.29607261192509,17.400491822961516,11.897304242114735,2.4416160476925097,1.5720981482398577,4.0137141959323674,1.5164443471851436,,,,589411.6732072029
2005/06,2062/63,10.246048648584107,4.5264214057255785,2.1808778688119888,16.953347923121676,11.050887318612999,2.114024389113579,1.2558483906211821,3.3698727797347607,1.8092779637825955,,,,654084.128414334
2006/07,2063/64,10.596254816378686,5.458701288202177,2.3016871824582825,18.35664328703914,12.0512297604806,2.170955560286458,1.3813035874980955,3.5522591477845533,2.4583178175354026,,,,727826.9665692779
2007/08,2064/65,11.211424084773917,6.56109384203477,2.0090400585999277,19.781557985408615,13.194586496040342,2.4913254074163844,1.1009390929475062,3.5922645003638904,2.5128662930198855,,,,815658.201032577
2008/09,2065/66,12.925490365518973,7.3956257979211415,1.9057629898825892,22.226879153322702,14.517711152759189,2.6695969964497235,1.0087168079050994,3.6783138043548234,1.8635667929233848,,,,988271.5269415709
2009/10,2066/67,15.644004619862564,3.396266474006576,2.731598411793557,21.771869505662696,15.086335574727366,3.231625167137579,0.9409482441523889,4.172573411289967,2.5079361796270105,,,,1192773.573865381
2010/11**,2067/68,13.449176728507755,3.0286207830540914,2.423276435250546,18.901073946812392,12.786935802955915,2.9386788808999076,0.7727492135300672,3.7114280944299747,2.720694465732466,,,,1562680.9822084852
2011/12,2068/69,13.8457057536732,2.922618605084863,2.520321018245861,19.28864537700392,13.90832575133159,2.320903336089693,0.6303004573509863,2.9512037934406794,2.0711488999986605,,,,1758379.177857447
2012/13,2069/70,12.694614978243285,2.8009321361602084,2.902798461415377,18.39834557581887,15.224811464264704,1.8073102470475586,0.6140225627430922,2.421332809790651,0.9769099481118568,,,,1949294.8185045589
2013/14,2070/71,13.595892832190923,2.987411945212618,2.9036983580120834,19.487003135415623,16.281716927551255,1.8904944240231856,0.8062092345739942,2.6967036585971793,0.8950803445515191,,,,2232525.2835277542
2014/15,2071/72,13.998705970426645,3.662044014737097,4.2624859578316565,21.923235942995397,16.992973577315084,1.5750826400124545,1.0534277360540352,2.6285103760664894,1.7480980888789261,,,,2423638.482847995
2015/16,2072/73,14.223948338705512,4.69101909475289,4.12910285186671,23.044070285325112,18.604475127666287,1.5161487212349727,1.3210673103344344,2.837216031569407,3.3653492341438764,,,,2608184.437723869
2016/17,2073/74,16.85374961529165,6.783866391540617,3.5709530386588617,27.20856904549113,19.907983408775323,1.0377249313032395,1.8852865731467772,2.9230115044500167,2.8707682711231635,,,,3077144.919308957
2017/18,2074/75,20.165793579499862,7.833265979809798,3.4620473266772644,31.46110688598693,21.028016879119985,1.137710559459486,2.6688094142852874,3.8065199737447735,4.188455554768192,,,,3455949.2898334255
2018/19,2075/76,18.565185823438306,6.2598304403385905,3.9512762372119323,28.77629250098883,21.758928315498217,0.5933949984131697,3.2229785725889215,3.8163735710020914,2.4976350944402133,,,,3858930.402385372
2019/20,2076/77,20.168453819197403,4.86383424860757,3.031899845911207,28.064187913716175,21.634780521326025,0.60994105309172,2.999557448215141,3.6094985013068603,5.005326645404302,,,,3888703.6509138336
2020/21,2077/78,19.441873227096316,5.257517715583379,2.794283655923655,27.493674598603352,22.430743953382265,0.8381614910815359,3.9734911815847997,4.811652672666336,5.146408142293445,,,,4352550.240995396
2021/22,2078/79,19.176243065029468,4.344629625947291,2.802559691417698,26.323432382394458,22.381906693477966,0.5523516792283616,2.626184764476257,3.1785364437046186,4.674626804803879,,,,4976557.695705937
2022/23,2079/80,18.474145631675086,4.3716222230294965,3.6369580217996216,26.482725876504205,18.830851676758837,0.43566641353906455,2.2332790039770543,2.668945417516119,4.793921755561945,,,,5366996.232291248
2023/24R,2080/81R,16.27449273805249,3.3635335882183335,4.768666448738812,24.406692775009635,18.964814800261202,0.40792439531701796,2.085410302381104,2.493334697698122,4.108313348178429,,,,5709097.1433324395
2024/25P,2081/82P,16.052837461234407,3.6462138256031382,5.240394156424691,24.939445443262233,19.586487796411458,0.3852603967107784,2.0533057594126296,2.438566156123408,5.403288239166102,,,,6107220
"*Before 2004/05, Expenditure was classified as regular and development expenditure. Principal repayments used to be one of the components of regular expenditure. While constructing this series, principal repayments has been dissegrgated from regular expenditure from 1974/75 (2031/32) to 2009/10.",,,,,,,,,,,,,,
"Note: Government budgetary operation has been reported as per the Government Finance Statistics, 2001 from the fiscal year 2009/10 that  may not be consistent with the previous reporting.",,,,,,,,,,,,,,
R=Revised Estimate from Budget Speech 2025/26 and this might differ from data presented in the table 32 and 33.,,,,,,,,,,,,,,
P= Preliminary Estimate,,,,,,,,,,,,,,
"** Since 2010/11, GDP based on revised estimates published by CBS in April 2021 following SNA 2008.",,,,,,,,,,,,,,
Source: Economic Survey and Budget Speeches,,,,,,,,,,,,,,
