Table 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(Rs. in million),,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Aggregates,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,,2025/26,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amount,,Percent,Amount,,Percent,,,,,,,,,,,,,,,,,,,,,,,
"1. Foreign Assets, Net",1989278.5277688396,2490810.082128116,2664942.904908985,3824584.3794927187,438520.9639080435,1/,22.044221449466175,863560.3412943565,2/,32.40445938648916,,,,,,,,,,,,,,,,,,,,,,,
1.1 Foreign Assets,2150244.254757949,2652111.8247328238,2821959.308336341,3984828.7637944543,501867.5699748746,,23.340026086076872,1162869.4554581135,,41.20787468560885,,,,,,,,,,,,,,,,,,,,,,,
1.2 Foreign Liabilities,160965.72698910965,161301.74260470766,157016.4034273561,160244.38430173538,336.01561559800757,,0.208749789090656,3227.980874379282,,2.0558239801185563,,,,,,,,,,,,,,,,,,,,,,,
a. Deposits,73751.46278826949,81312.00376682816,82710.91684108796,100052.18800328884,7560.540978558667,,10.251377657774682,17341.27116220088,,20.966121310828374,,,,,,,,,,,,,,,,,,,,,,,
b. Other,87214.26420084017,79989.73883787949,74305.48658626815,60192.196298446535,-7224.525362960689,,-8.283651108176283,-14113.290287821612,,-18.993604558979882,,,,,,,,,,,,,,,,,,,,,,,
2. Net Domestic Assets,4984785.326930098,4946113.65842745,5180662.621424076,4739208.049460428,24338.921948584437,1/,0.4882641949913953,-145373.43867427076,2/,-2.806078088796874,,,,,,,,,,,,,,,,,,,,,,,
2.1 Domestic Credit,6558038.215818632,6698934.166460833,6956055.163082663,6954156.093608823,140895.9506422002,,2.1484466239056874,-1899.0694738402963,,-0.027300954769868442,,,,,,,,,,,,,,,,,,,,,,,
a. Net Claims on Government,1057446.9294580005,802827.0503374803,1014354.2099999997,682143.2084573101,-254619.8791205202,,-24.078738329783306,-332211.0015426896,,-32.75098562884554,,,,,,,,,,,,,,,,,,,,,,,
i. Claims on Government,1151402.4,1163805.4,1152138.8999999997,1098506.7,12403,,1.0772081072611972,-53632.19999999972,,-4.655011648335087,,,,,,,,,,,,,,,,,,,,,,,
ii. General Government Deposits,93955.4705419995,360978.34966251964,137784.69,416363.49154268985,267022.87912052014,,284.2015239561351,278578.80154268985,,202.1841479940114,,,,,,,,,,,,,,,,,,,,,,,
b. Claims on Non-Financial Government Enterprises,5920.6237013,3013.61289029,5055.447359409998,1270.47675313,-2907.01081101,,-49.09973944758055,-3784.9706062799983,,-74.86915276122522,,,,,,,,,,,,,,,,,,,,,,,
c. Claims on Other Financial Institutions,292175.9442141569,295039.73201834154,311955.6412081928,310783.1419330091,2863.787804184656,,0.9801586547062133,-1172.4992751837126,,-0.375854487081133,,,,,,,,,,,,,,,,,,,,,,,
i. Government,1262.13430321081,1103.19411182081,1311.96958552,611.9150050000001,-158.9401913900001,,-12.592969780289131,-700.05458052,,-53.359055594458226,,,,,,,,,,,,,,,,,,,,,,,
ii. Non-Government,290913.80991094606,293936.5379065207,310643.6716226728,310171.22692800907,3022.727995574649,,1.0390458935242572,-472.4446946637472,,-0.1520857296708777,,,,,,,,,,,,,,,,,,,,,,,
