,Table 23,,,,,,,,,
,Custom-wise Foreign Trade*,,,,,,,,,
,Ten Months,,,,,,,,,
,(Rs. in million ),,,,,,,,,
,S.N.,Major Custom Points,Exports,,,Imports,,,,
,,,2024/25,2025/26,% Change,2024/25,2025/26,% Change,,
,1,Bhairahawa Customs Office,16441.743159,27935.4788231,69.90582174255941,220914.36145660002,257529.05928470002,16.57415913871818,,
,2,Biratnagar Customs Office,56621.7189532,70505.9796627,24.52108654803624,169752.50954879998,198629.67605570002,17.011334079039653,,
,3,Birgunj Customs Office,79030.8985181,88246.2006025,11.660378734387633,506047.35981570004,794826.9638282,57.06572683585822,,
,4,Dry Port Customs Office,4230.5624025,0,-,185953.93825789998,44.2672609,-99.97619450208222,,
,5,Jaleshwor Customs Office,2595.352996,3274.8952134,26.18303631326149,8617.8991497,6878.5314958,-20.183198058897567,,
,6,Kailali Customs Office,845.2408167000001,1107.4842770999999,31.025886968385418,19882.1180085,23581.5957762,18.607060707105738,,
,7,Kanchanpur Customs Office,5.714784799999999,5.5658145,-2.606752576229976,1564.0173337,1590.5715245,1.6978194696334103,,
,8,Krishnanagar Customs Office,2061.9074425,1503.3848765999999,-27.08766428539626,20692.471905,22979.393996900002,11.051952141819289,,
,9,Mechi Customs Office,21457.9094042,21922.4567942,2.1649238108399915,39305.5453129,47098.356167800004,19.826237730232975,,
,10,Nepalgunj Customs Office,2583.0259243,2826.9668262,9.443997429724128,63326.970548,70230.101367,10.900775387269835,,
,11,Rasuwa Customs Office,1901.5071020999999,542.1250359,-71.48971806093786,68593.4848739,28265.7287942,-58.79240011472987,,
,12,Tatopani Customs Office,0,0,-,40201.37384,37114.9637229,-7.6773747319775705,,
,13,Tribhuwan Airport Customs Office,29231.1726662,30262.4530277,3.5280157018554137,119979.4581457,172032.7650522,43.385182522901374,,
,14,Others,904.3056205999746,829.6793952999869,-8.252323506568038,9356.79181259987,31840.66839029966,240.29471883111654,,
,,Total,217911.0597902,248962.67034920002,14.249671672881515,1474188.300009,1692642.6427173,14.81861867354164,,
,* Based on customs data,,,,,,,,,
