Table 43,,,,,,,,,,,,,,,,,,,,,,,,
Condensed Assets and Liabilities of Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,,,,
a.Government,618.44459357,489.50260218,700.05458052,0,-128.94199139000006,-20.84940069500429,-700.05458052,-100,,,,,,,,,,,,,,,,
b.Non-Government,252048.40156250953,258812.44238958036,277066.5037964758,283052.7528939452,6764.0408270708285,2.6836277417904215,5986.249097469379,2.1605820319105358,,,,,,,,,,,,,,,,
6.4 Claims on Private Sector,4596248.4758182475,4961880.498323803,4981464.585359761,5282397.576499225,365632.0225055553,7.955009926665543,300932.9911394641,6.041054512841242,,,,,,,,,,,,,,,,
a.  Principal,4496163.341810667,4838771.541285457,4882191.360255029,5165565.027758789,342608.19947479013,7.620012295567916,283373.6675037602,5.804231063342788,,,,,,,,,,,,,,,,
i. Non-financial Private Corporations,2998810.078765674,3237860.6584667056,3245348.9247473474,3426594.859695526,239050.57970103156,7.971514481484804,181245.93494817847,5.58479039237017,,,,,,,,,,,,,,,,
ii. Households,1497353.2630449925,1600910.8828187513,1636842.4355076829,1738970.1680632636,103557.61977375881,6.916044618834021,102127.73255558079,6.239313591836643,,,,,,,,,,,,,,,,
b.  Interest Accrued,100085.13400758101,123108.95703834582,99273.22510473116,116832.5487404353,23023.823030764805,23.004238600530673,17559.323635704146,17.687874668299965,,,,,,,,,,,,,,,,
6.5 Foreign Bills Purchased & Discounted,27.537474570000256,23.93601519000029,33.642973190000845,20.972115550000062,-3.601459379999966,-13.078393847791151,-12.670857640000783,-37.662716575141275,,,,,,,,,,,,,,,,
7. NRB Bond,0,0,0,191429.00000000006,0,-,191429.00000000006,-,,,,,,,,,,,,,,,,
8. Other Assets,799663.3553321018,853641.0923863188,1084498.280862525,1392874.5190603172,53977.737054217025,6.750057595398999,308376.2381977921,28.434921810344754,,,,,,,,,,,,,,,,
