Table 41,,,,,,,,,,,,,,,,,,,,,,,
Other Depository Corporation Survey,,,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,,,
6.2 Claims on  Non-Financial Government Enterprises,5886.9784513,2979.96764029,5024.882113409998,1239.91150713,-2907.0108110100005,-49.380354201365485,-3784.970606279998,-75.32456525057523,,,,,,,,,,,,,,,
6.3 Claims on Other Financial Institutions,291532.2545045161,294426.0405087007,311343.72620319284,310171.22692800907,2893.786004184629,0.9926126387294143,-1172.4992751837708,-0.376593191545013,,,,,,,,,,,,,,,
a.Government,618.44459357,489.50260218,700.05458052,0,-128.94199139000006,-20.84940069500429,-700.05458052,-100,,,,,,,,,,,,,,,
b.Non-Government,290913.80991094606,293936.5379065207,310643.6716226728,310171.22692800907,3022.727995574649,1.0390458935242572,-472.4446946637472,-0.1520857296708777,,,,,,,,,,,,,,,
6.4 Claims on Private Sector,5193557.177166985,5590466.902324821,5617127.853544161,5950089.673375334,396909.7251578355,7.642348232976312,332961.81983117294,5.927616898039603,,,,,,,,,,,,,,,
a.  Principal,5073968.607438062,5442649.77742226,5497702.634126913,5809707.480755232,368681.16998419724,7.2661302918535595,312004.8466283195,5.675185934785809,,,,,,,,,,,,,,,
i. Non-financial Private Corporations,3210598.57179313,3434189.723174926,3450370.4055448654,3645263.23363416,223591.15138179576,6.964157816120853,194892.8280892945,5.648461039895744,,,,,,,,,,,,,,,
ii. Households,1863370.0356449329,2008460.0542473337,2047332.2285820483,2164444.2471210733,145090.01860240079,7.786430812288099,117112.01853902498,5.720225418428304,,,,,,,,,,,,,,,
b.  Interest Accrued,119588.5697289234,147817.12490256148,119425.21941724786,140382.192620101,28228.555173638088,23.60472680426313,20956.973202853143,17.548197361592166,,,,,,,,,,,,,,,
6.5 Foreign Bills Purchased & Discounted,27.537474570000256,23.93601519000029,33.642973190000845,20.972115550000062,-3.601459379999966,-13.078393847791151,-12.670857640000783,-37.662716575141275,,,,,,,,,,,,,,,
7. NRB Bond,0,0,0,200000.00000000006,0,-,200000.00000000006,-,,,,,,,,,,,,,,,
8. Other Assets,863309.1888195045,920824.3815782391,1159033.870764609,1482036.2523533716,57515.19275873469,6.6621777578183075,323002.3815887626,27.868243520414076,,,,,,,,,,,,,,,
