,Table 18,,,,,,,,,
,Imports of Major Commodities*,,,,,,,,,
,(Rs. in million),,,,,,,,,
,S.N.,Heading,2023/24R,,2024/25R,,2025/26P,,,
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,Share in Total Import,Percent Change,
,1,Petroleum Products,300650.65542669,245754.97214768,287788.18129101,234419.29466363002,267686.20706157,15.814691199781983,14.191200620100375,
,2,Crude Soyabean Oil,13444.64781377,11525.50573527,108002.3028691,80940.11929833,100603.91517184,5.943600417057587,24.294251162434,
,3,"Transport Equip, Vehicle & Other Vehicle Spare Parts",78010.48189085,64244.2751841,96223.61231917,75354.57150723,98689.32686818,5.830488041453815,30.966608785919657,
,4,Other Machinery and Parts,78851.87707138,61949.27848814,82283.83418928,66172.33642985,78892.91009465,4.660931262371986,19.22340112364813,
,5,Chemical Fertilizer,36431.74838451,25557.252181810003,31197.36546763,24317.65750995,49292.19667154,2.9121443255386916,102.70125381678406,
,6,Ferrous products obtained by direct reduction of iron (Sponge Iron),39026.721258339996,31313.46828809,48766.01427598,41499.31454378,48052.17189734,2.838884634278089,15.790278527726077,
,7,Telecommunication Equipments and Parts,37137.10011503,31110.38184672,43576.4389436,35394.75544317,47613.94812264,2.812994717313898,34.52260801487726,
,8,Medicine,45904.01989121,37083.18937463,46355.199166779996,38641.96286311,38245.19596489,2.2594961865956957,-1.0267772877520565,
,9,Rice/Paddy,22098.28875572,19387.08062334,39817.52231503,35179.95789948,35236.03075574,2.0817170657578083,0.15938863946403092,
,10,Readymade Garments,33263.46578051,28796.6531601,38859.879438150005,34062.535661580005,34648.1846377,2.0469875780795173,1.719334643605408,
,11,Textiles,30924.35273734,25994.97132673,32925.016708200004,27012.29582752,31619.08690116,1.8680308591540622,17.054422560212835,
,12,Silver,3285.2699575300003,3018.46225653,7025.85512129,6212.92366929,30482.3273723,1.8008719976098975,390.6277462086292,
,13,Electrical Equipment,38677.010964010005,30539.146988599998,34431.01958272,27473.20958961,30115.03980317,1.779172936044228,9.616023220523552,
,14,Gold,25934.73704167,23469.796399529998,19925.71072585,19609.396480389998,27919.65374511,1.6494712493056964,42.37895476809048,
,15,Coal,25536.35189108,21780.15468198,25571.74020887,21700.9284693,23975.88211132,1.4164763137971101,10.483208795597587,
,16,Thread,20150.39459984,16882.11668265,23439.072384720002,19342.37218538,21454.24150659,1.2674997642826857,10.918357381243338,
,17,Electrical Goods,21182.924769549998,15171.825329559999,24315.82853276,20172.53403302,20876.31341552,1.2333562258602921,3.488800075131837,
,18,Edible Oil,18238.83670573,13960.99612076,29624.92953832,25129.16075322,17982.67670669,1.0624024382264965,-28.439008038158477,
,19,Computer and Parts,12730.90845188,10086.63459939,15825.4021415,12691.53632856,16735.07407649,0.9886950531757956,31.860112465901814,
,20,Vegetables,11268.3915496,10083.7939268,13888.836364,12195.8809341,16648.973590100002,0.9836083039579113,36.51308732892791,
,A.,TOP 20 Commdities,892748.1850562099,727709.95534241,1049844.03687028,857523.01937687,1036769.3564745601,61.251520569644434,20.902801796264512,
,B.,Others,700237.3460160902,575647.0860107898,754278.69795502,616665.2806321301,655873.2862427399,38.74847943035557,6.358069254429011,
,C.,Total Imports (A+B),1592985.5310723002,1303357.0413531999,1804122.7348253,1474188.300009,1692642.6427173,100,14.81861867354164,
,D.,Other Imports**,,,,,,,,
,,Electricity,17848.364942717246,15204.433891775248,12923.161293210002,11974.019398110002,8558.61551386,-,-,
,"* Top 20 imports are selected from import of major commodities from India, China and Other Countries based on Four Months data of FY 2023-24",,,,,,,,,
,** not included in customs data,,,,,,,,,
,"# Includes tyre, tubes and flaps",,,,,,,,,
,"R= Revised, P= Provisional",,,,,,,,,
