Particulars,2019,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mid-Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar-Apr,Apr-May,May-Jun,Jun-Jul,Jul-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-Jul,Jul-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-Jul,Jul-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-July,July-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-July,July-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-July,July-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-July,July-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,,,,,,,,,,,,,,,,,,,,,,,
Government Expenditure,81.1,86.2,-,-,4.296,55.1118,118.5983,48.0096,72.6913,111.7603,76.6199,124.11,64.6,85.8,122.2964,210.4501,1.9791,66.5898,132.5082,67.8922,59.489,87.2873,83.9367,71.3389,119.4533,134.3342,92.0455,264.0989,10.5,79.4433,144.5879,53.0155,99.4951,119.6587,84.3319,84.27210000000001,118.959,114.6016,126.7501,260.6,22.2587,112,143.8,72.82,84.22,141,91.3,111.57,163.8215,104.70939999999996,128.31,253.4983,35.037,96.1043,149.4312,75.0615,97.3617,113.6256,120.1324,114.8291,107.8086,147.501,124.4049,226.7226,40.2076,97.3451,191.6484,85.819,141.0976,111.4842,87.2515,84.5026,159.16520000000003,159.3713,125.0518,240.1625,46.31,133.86,184.42,104.30000000000001,95.58119999999997,125,111.2,125.2,133.37069999999994,113.563,,,,,,,,,,,,,,,,,,,,,,,
Current Expenditure,57.7,65.3,-,-,3.5904,50.088,103.0768,40.1515,50.0214,62.7201,56.1021,85.0726,44.6,76.7,98.3864,115.984,1.7283,61.5151,119.374,47.4037,50.7219,61.6135,64.3693,49.0904,71.2303,103.1579,70.4099,151.0641,9.6,49.0373,127.9286,46.9845,83.8209,89.0814,69.2138,62.8117,87.0651,91.3739,97.6664,146.9,5.6572,103.1,115,57.63,72.87,100.87,76.37,77.34,97.9214,79.97670000000005,90.65,128.365,12.1358,75.5277,125.7269,57.7843,88.821,77.3855,71.661,73.0677,61.9155,108.5319,70.252,128.8325,12.3822,70.6043,146.8656,62.6746,71.0247,88.4516,70.6223,61.5025,93.96249999999998,95.1364,78.3552,128.8002,18.48,95.71,142.62,64.09999999999997,77.05719999999997,89,75.2,79.7,105.379,67.13,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditure,19.2,19.4,-,-,0.5965,4.5376,13.2335,6.4679,12.7748,25.5334,14.1316,19.5734,8.7,9.1,11.9388,65.1834,0.1333,3.6194,11.2931,14.3994,6.4965,14.8752,12.0264,16.8534,26.1428,20.0438,17.2061,85.2112,0.9,1.6737,12.2806,5.9028,7.6114,22.4045,9.9816,16.3572,26.6428,14.4796,19.6939,78.4,1.4846,4.4,13.8,6.62,7.6955,19.463,12.84,17.96,22.9874,18.4362,27.4,80.6117,0.8231,7.3408,9.6692,12.1563,60.709,13.1755,14.3431,17.6359,16.1626,14.5055,23.0963,56.7672,8.5548,6.3392,14.4806,5.1564,6.2696,16.1344,11.4809,13.9201,20.564800000000005,17.4756,23.0124,79.2935,0.73,5.619999999999999,12.83,6.129999999999999,8.5643,15,14.3,14.75,17.706300000000002,17.65,,,,,,,,,,,,,,,,,,,,,,,
Revenue,81,59.1,-,-,66.7729,59.4435,63.4515,58.1362,61.016,124.334,59.1302,54.4345,43.9,16.1,41.0966,145.9892,58.8148,46.566,66.9832,67.7888,61.1356,120.9475,76.2887,72.6788,112.6668,77.1333,51.3495,125.9693,93.3,75.3164,86.4617,79.2746,78.0895,129.6511,71.3564,71.2885,104.561,76.438,76.4273,125.8,79.7225,64.1,64.8,59.49,58.8184,132.096,55.7,68.08,108.7286,72.44720000000007,80.6,120.2998,78.8741,62.203,78.038,57.5249,86.7892,133.0706,70.9032,71.6431,108.9951,83.892,87.2568,139.7064,94.74,71.6446,81.8724,74.98,76.3589,160.0085,83.2465,77.4928,111.05779999999993,91.0274,93.6534,162.7302,84.47,73.06,91.52,77.60000000000002,79.75369999999998,171,87.6,82.26,139.0031,102.27,,,,,,,,,,,,,,,,,,,,,,,
Deposit Mobilization,24.9,29.2,43,129.3,-14.2,28.376088183696847,82.3293410902098,4.81675695920409,82.3293410902098,69.4211491258661,8.21566055894177,51.0122925857757,53.4,44.8,74.1,173.1,-5.4,23.40888464067178,169.646254006211,3.3805596508719,60.3139891257123,100.873111782419,23.4156055150204,45.1177785447128,103.885294528526,25.9363253422575,37.647476431374436,234.78768972294404,-76.013134869745,107.22532453759108,24.888546991641633,6.31726908276509,16.017182480326852,100.63071944914758,-11.727280987090431,24.777841982428917,44.11234099540673,-4.9053882667832,34.434530436928384,154.28204776178114,-100.7669976502331,57.1070774089554,66.3460890312511,24.0545841927621,64.4140249634003,103.980280248043,38.8306654674038,26.6057802507299,75.3167518827934,14.8874661732604,74.3500042590518,182.1208965072725,-133.2371749183135,125.677555669041,166.05799233284407,-3.8857211696083027,109.106329457668,113.34746679362809,20.1356437809439,38.6652969175763,-26.823692380519496,34.03804029885679,71.4902578773517,227.79851548454,-43.4531572219301,78.4847332748333,134.9656054640794,-20.15463117002789,22.477046844408846,66.73598963350616,6.287994819649495,31.88614047060068,91.24323871871647,31.339807934780605,117.78898204746656,293.8867184130112,-55.78990887355991,144.4427229319196,185.853707734529,3.65932364959828,59.5175882987678,135.582038602885,16.2366059790756,48.2966907033994,133.66068245546612,69.7368608965706,,,,,,,,,,,,,,,,,,,,,,,
Private Sector Credit,46.5,15.6,24.8,30.1,14.7,57.32866617278987,50.5453412280497,21.2855668470463,50.5453412280497,70.291456675956,7.45634927358897,35.5998347958582,40,-13.3,-10.4,36.8,-17.3,34.066778443716004,113.091079555077,26.2758937631165,70.212135214489,139.965695013183,85.5335878923163,108.02214195769,163.774910927647,40.8508345249048,34.22568677223707,76.28636369684338,47.363386481807105,187.29042983582661,80.3754895541612,49.5938192575313,58.511228156520055,69.49951582928468,11.360889163871295,18.49629330392927,28.148450646029787,-2.495311918566,4.567581102081575,-16.426263226679527,-2.307214918313548,26.3969497490972,61.4160648845434,9.44569045578502,4.74754994692374,64.0240876472322,10.7983517810674,-19.9442943328721,33.7987650005565,-8.81375225110352,4.19934825853351,18.57045411306806,-4.354135293352417,37.9493519544592,75.43385886658356,-9.63116090450529,10.6575068072844,82.58605711067933,4.56512010394968,2.29439851654786,22.72057356902064,3.0247821279810743,21.5674487769743,30.134058889275416,14.108387412614189,59.277544100692495,55.26006909539085,-0.1795286433119327,49.82476538727526,87.26509340380878,17.90283528845571,21.35713600168191,56.21736782163076,7.647500115958974,38.94065006285068,16.112206641802565,-2.9261073327520863,52.16798478889559,33.6916644696351,-17.890790772506,37.2002022637892,95.2249615977304,24.3729718096423,21.6966703944429,68.41708639330976,0.05020301613211632,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Deposit Rate (%),6.7,6.7,6.6,6.6,6.8,6.796934455638009,6.752836530381439,6.812104227644717,6.799075280104169,6.72,6.780041240180373,6.773224127474397,6.7,6.4,6.2,6,5.8,5.605723681566924,5.448534678129671,5.3083686809997035,5.143364303457323,5.000981577404195,4.864351689582626,4.764646585627345,4.785174100990238,4.814180209380089,4.718386809484225,4.65,4.76,4.920085619390994,5.427251270331453,5.8,6.240637178902934,6.367261862048495,6.49,6.929281879736388,7.1057230357513985,7.253697766488381,7.344963502511258,7.4065960507324,7.637347342677988,7.805758849583307,8.156465798866506,8.319510568751951,8.459647523999154,8.507764414947133,8.405799498098874,8.374546580819562,8.262332048072546,8.083541376271501,7.9935794016801145,7.8602755862174645,8.00497435260812,8.062958035010555,7.9,7.764857420907917,7.62,7.32,7.01,6.742109639154794,6.53,6.35,6.172621684049208,5.773187203927609,5.657782577186157,5.531244196027666,5.237356153801667,5.012935457433992,4.780908646976548,4.752150933556466,4.622200068405988,4.539934317575964,4.449992384087778,4.37203160253861,4.294696153908364,4.19094269560633,4.015412981449491,3.9627673369850474,3.8528151668117374,3.7431717329478724,3.6612251970214276,3.5621877432001683,3.5052065488406976,3.447437540823216,3.4,3.3478763556353743,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Lending Rate (%),12.3,12.2,12.2,12.1,12.1,11.96590336030568,11.98479244278075,12.073929961045465,11.932860907827484,12.29,11.93890115549449,11.795105403448739,11.8,11,10.4,10.1,10.5,10.178098954428284,9.831864981290702,9.517731632300432,9.369728994641058,9.09422022011081,8.89127454358934,8.727605094208064,8.613269184147743,8.534244808580496,8.459129253330053,8.434801897175857,8.48,8.565492039727948,8.69,9.02,9.29312259091204,9.440224456843413,10.31,10.603007556868986,10.78427637181439,11.418644910857113,11.53937423853144,11.620299693912473,11.9352313050618,12.060672464651923,12.1869417261003,12.649630175408365,12.735165389766548,12.78585747325813,13.0333481903709,13.034284933532549,12.839437652453611,12.649870217159112,12.534739692054348,12.2968211469067,12.243697262021449,12.234427425431878,12.11,11.95612012774439,11.85,11.38,11.08,10.77524006184935,10.55,10.34,10.154948961007413,9.934009948215072,9.681970756181395,9.521362313827812,9.333785129124424,9.070682268687692,8.89688266383858,8.692166727871259,8.545012960543449,8.401583365481748,8.219215426100392,8.10677168677882,7.99369434046947,7.851180327695915,7.755916639652328,7.66137137213452,7.502424315547212,7.376444888405675,7.261655375274568,7.116897116689119,7.000272440090749,6.8971129639818844,6.77,6.727633925454733,,,,,,,,,,,,,,,,,,,,,,,
Base Rate of Commercial Banks (%),9.64,9.59,9.48,9.57,9.45,9.527979765420787,9.56386875,9.5,9.464769906053156,9.8,9.453117732961099,9.452060260371313,9.36,8.96,8.66,8.5,8.08,7.8336111428311135,7.734984874224413,7.565152851903175,7.363262032503893,7.177026309280699,6.971835736059872,6.835133023878162,6.896793466017893,6.828902157493114,6.6641308725619615,6.864127077806029,6.713518466601397,6.892596275430902,7.570251835158348,7.8163103691076605,8.246662922188067,8.424928454915309,8.53,8.975187988281675,9.174848675380607,9.300706488697939,9.38952555910231,9.5417696777586,9.716983741172184,10.005106428718225,10.344957282097605,10.597351812859308,10.693651046404524,10.913824406250901,10.724862279815689,10.6375305832792,10.479652097888163,10.274045903906298,10.182070387705506,10.02593375268152,10.108775285196504,10.144591341771251,9.936143148935539,9.740907724997276,9.6415728407501,9.35,9.06,8.76630530657419,8.510761353474045,8.338184455222429,8.172371808776674,8.004528783345014,7.61,7.485474040732224,7.287561768605455,7.021438893304847,6.818919733963023,6.64895488723069,6.46269017018024,6.338308921990858,6.288971160247698,6.16737693927695,6.088170967321515,6.022046799989949,5.7849189904499605,5.716640780399368,5.564456647269467,5.441248936311107,5.3832636655591575,5.2919990286006895,5.123501750432599,5.100950233484057,5.06,4.9711854083163365,,,,,,,,,,,,,,,,,,,,,,,
Source : Nepal Rastra Bank and FCGO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
