,Table 25,,,,,,,,,,,,,,,,
,Export and Import Unit Value Price Index and Terms of Trade,,,,,,,,,,,,,,,,
,(FY 2022/23 = 100),,,,,,,,,,,,,,,,
,Mid-Month,Export Unit Value Price Index,,,,,Import Unit Value Price Index,,,,,Terms of Trade,,,,,
,,2023/24,2024/25,,2025/26,,2023/24,2024/25,,2025/26,,2023/24,2024/25,,2025/26,,
,,Index,Index,"Percent 
Change",Index,"Percent 
Change",Index,Index,"Percent 
Change",Index,"Percent 
Change",Index,Index,Percent Change,Index,Percent Change,
,August,103.4480724476797,106.079647775348,2.543861152172977,102.10163916468343,-3.750020568591117,95.69184912200876,96.46687243752878,0.8099157061244089,96.4285880325377,-0.03968658257876845,108.10541691568905,109.96484606054204,1.7200147762282514,105.8831631240224,-3.7118070753924703,
,September,103.85668284135438,103.95724588724849,0.09682867114841898,102.60383145070372,-1.301895240676798,96.84684485782364,96.41524870968958,-0.4456481249003663,96.63364711813946,0.22651853453958815,107.23806541536955,107.82241116264522,0.5449051556574602,106.17816310427092,-1.5249594593966465,
,October,102.42553504027869,105.36207450977945,2.866999394580616,103.01138436549311,-2.231059093344012,98.02351935548441,94.63861688194903,-3.4531533817511284,96.79468689427782,2.278213781397742,104.49077498312448,111.33095345339494,6.546203213992019,106.42256064943459,-4.408830295354549,
,November,103.4609213889582,103.6800097966127,0.2117595752224588,102.47633012634728,-1.1609563623948826,98.28274838551529,95.22225355995484,-3.113969517372084,96.65940344501693,1.5092584257704322,105.26864896281843,108.8821214794424,3.4326198276756426,106.01796253029764,-2.6305135409081193,
,December,103.86158363381756,103.64018446953649,-0.21316752213373924,104.08313642234347,0.4273940219946093,97.3691232687549,95.60152424456095,-1.815358878517459,96.66945852325402,1.117068255063769,106.66788417837797,108.40850633763078,1.631814648485963,107.66910047117526,-0.6820552108269928,
,January,104.84545029617772,103.76409884644369,-1.03137660878877,104.87710485541801,1.072631113600675,96.36124643008019,95.72153477524688,-0.6638681820056003,97.08194531644334,1.4212168080993237,108.8045808667011,108.4,-0.4,108.02946367995199,-0.3418231734760302,
,February,104.3394152783438,103.20652000199688,-1.085778824162198,105.32602951766927,2.0536585436960575,96.4197883302747,96.58907677704165,0.17557438125364033,97.17147035068116,0.6029600789992706,108.21369460067817,106.85113000948377,-1.2591424738083723,108.39192731936565,1.4420037577002054,
,March,104.82763422696803,103.2,-1.5526766763084177,105.74868981794623,2.5153036400791695,96.34708578836415,97.02051823394258,0.698965038815702,98.88221329444997,1.9188673637243747,108.80208090282278,106.2888980453109,-2.2360127676150254,106.94409671337894,0.5404233061327535,
,April,105.58646914246802,103.5010817038871,-1.9750517803252876,106.75968891169977,3.148379856681527,96.43749272973398,96.18669229760431,-0.2600652765128775,109.26572858666859,13.597552818010804,109.48694968498823,107.6,-1.7,97.70647237026287,-9.198413788076397,
,May,104.82183281438346,103.93127153175772,-0.849595221448507,107.10478690437701,3.0534749800011696,97.88773736666441,95.38680348534041,-2.554900081055189,118.2984938292319,24.01976951393774,107.0837222661972,108.95770456102,1.7500160203285597,90.53774349738264,-16.905606756171498,
,June,106.8723167050065,103.87269432471396,-2.806734683755585,,,97.02859380234952,95.18211700609496,-1.9030233500197835,,,110.1451773306217,109.13047281566821,-0.921242799317179,,,
,July,104.51915841205293,102.10094772814935,-2.31365303801061,,,95.65424906958016,96.12043665835793,0.4873673603758677,,,109.26765870695857,106.22189336389307,-2.7874353483072434,,,
,Average,104.4054226856241,103.85798138128949,-0.509048796817387,104.40926215366815,0.38269108910463967,96.86252320888616,95.87930792227598,-1.0031803587970725,100.3885635390701,4.665173899696428,107.7872217518756,108.32158015312478,0.5268116877766728,104.00513611596129,-3.7421582235769746,
