,Annex 7,,,,,,,,
,Balance of Payments Indicators (Monthly Series),,,,,,,,
,(Rs. in million),,,,,,,,
,Fiscal Year,Mid-Month (Cumulative),"Current A/C 
Balance",Balance on Goods,"Services
Net",Workers' Remittances,,Net Direct Investment in Nepal,"BOP
(-Deficit)"
,,,,,,Amount,% Change*,,
,2016/17,August,-2315.2593572907354,-61585.96818663981,-3209.9787642016827,51940.19543054203,-2.5007406639422514,1233.2069999999999,-2111.4400000000082
,,September,-11116.381814462555,-131661.9297327324,-5314.778199022161,114739.77702329913,6.56773670203991,2193.337,-3497.2000000000353
,,October,-1974.5554188921815,-195649.1681392628,-2401.5327664531706,171796.87120966386,3.230222135092159,5020.91,19695.419999999944
,,November,1858.1977170610044,-268342.2441476535,1090.7430938449688,232137.78040203292,7.776611593331347,5710.741,21977.259999999995
,,December,3485.9658238825505,-341407.16889575805,3593.091436206414,287664.17140263785,6.003942718548554,6838.0779999999995,28779.329999999973
,,January,-1078.5637366355513,-416851.6600722267,4285.245468460005,342233.4646205818,5.727956199350256,7393.121999999999,44998.81000000001
,,February,-10657.172930667468,-501371.32974980655,4585.305018496954,394567.0997933041,5.174196905206882,7600.026,36947.45999999995
,,March,-6306.930757050752,-566185.357544259,3728.968840782378,449991.5809156274,5.2924683860766635,8353.98,50020.8803268874
,,April,-10335.489942339365,-655189.8756807594,6422.162452529665,511931.52801913524,6.279162536719516,11069.053,50603.3105093892
,,May,-7565.030522427056,-730514.4113390718,7764.478823718222,566971.8400866112,5.214293391845134,11607.731,53806.91
,,June,-2993.9464514718275,-810797.831308784,6008.333060368099,633419.7322651827,5.754991360747952,12270.48,74229.5540762379
,,July,-10130.609031744534,-895818.2708348844,2891.333075273993,695452.3958542263,4.569221332640535,13503.939999999999,82106.12
,2017/18,August,-5982.057333469165,-69190.36332817872,-2335.4143447941374,55552.81899049226,6.955352266206383,4605.539,-3286.4400000000387
,,September,-19735.265651982903,-148835.49275575718,-6700.897904064011,115551.71009822453,0.7076299919604345,5103.965,-5873.839999999967
,,October,-25522.932125530337,-233408.28386576672,-6133.178749113646,176323.72447282408,2.635003321821605,6069.181,4273.980000000025
,,November,-48981.29207395867,-321306.7199173315,-3009.380005991068,228949.71812943125,-1.3733491666373165,10165.282,2399.569999999934
,,December,-64114.67377928202,-406613.10529501364,-4540.21850117517,285480.7067229378,-0.7590325444609802,11123.351999999999,-5477.349999999984
,,January,-98225.2,-499248.3,-1417.7405290758688,340543.4731385489,-0.4938124575007752,14334.936999999998,-6664.489999999991
,,February,-141874.9,-596481.2,-3189.3,401349.033517932,1.7188289971922677,14338,-18275.610000000022
,,March,-154039.6478673491,-693987.8049473149,-2657.199613566656,471855.4314309321,4.858724350090471,14240.768999999998,-24729.899999999998
,,April,-171928.95500418893,-794466.7560013542,-3345.2440827359096,540376.9145087915,5.556482641286564,14401.643999999998,-14602.400000000032
,,May,-191621.5199543411,-895562.6046053874,-986.3973565348133,606680.0047506706,7.003551474089709,15506.418999999998,-18932.26999999995
,,June,-209940.9807684765,-1007215.327804452,859.440503011283,679731.0196837063,7.311311135336607,15868.231999999998,-4336.599999999964
,,July,-246822.22110370582,-1135798.6895514196,1690.745232357498,755058.5839359085,8.57085092193375,17504.643999999997,960.1900000000314
,2018/19,August,-25995.382865992156,-110642.45775681367,-3988.656665205124,73954.19424340883,33.1241070881856,295.727,-24774.019791311915
,,September,-35993.48073391916,-212875.12601917083,-11782.18469136014,154201.87417424697,33.448370468224084,1231.664,-25446.854645658175
,,October,-82387.61765132891,-340169.5058032799,-18520.483057606987,242171.67088878807,37.3449157864816,1541.621,-35421.04652492854
,,November,-89070.97857570508,-440379.80059045536,-11873.850686648475,312258.88571769884,36.38753883119905,4235.23,-57484.26633125657
,,December,-117261.0780557241,-551981.8884527404,-5705.795698412054,376582.3936860986,31.911679079446877,6358.557999999999,-85324.40609186847
,,January,-149134.98432938458,-660372.4263089801,-6657.82278665989,443355.726606483,30.190639838252096,4358.919999999999,-63676.98190647822
,,February,-163546.6611698555,-759023.3113916242,-8096.340284844104,515555.45796883886,28.455637092198003,5146.329999999999,-49323.83247763939
,,March,-188522.22383302986,-863610.7051736366,-9616.78061966761,582192.1772020542,23.383591333582565,6659.036,-58985.434877219326
,,April,-203420.19093190483,-965663.5032099257,-8264.566728019417,653188.8169335207,20.876521441941385,7096.680999999999,-64678.27868104627
,,May,-222617.0288779682,-1071112.113072129,-7545.331958721043,725389.8997021425,19.567134901744197,9469.567,-68204.78262335598
,,June,-250314.57797533576,-1180242.9159784522,-8688.114261471026,799112.2846021424,17.563015584309618,11804.866999999998,-90827.81837273389
,,July,-266970.39985171054,-1285189.4945013123,-14357.011007732013,879367.1494966634,16.463433196503672,13065.175999999998,-67400.493227382
,2019/20,August,-9358.185927687868,-94104.16759634926,-3407.0659861510503,75401.47187661966,1.9569919570042726,1441.3029999999999,6045.158333619362
,,September,-22704.981625348708,-203769.6567131818,-5801.200303490219,153351.40777246573,-0.5515279281367413,1980.735,8831.005189267858
,,October,-22488.83202867779,-296389.27307577466,-6049.336343062552,229861.95649337707,-5.083053005429338,3992.313,14428.280267694401
,,November,-34138.86763088667,-398348.0794222748,-2487.683878248994,303660.2052850927,-2.753702400763669,4920.8640000000005,27285.420586800486
,,December,-65127.06858237047,-513401.7412961779,-3013.821373909188,375679.8916092821,-0.23965594035944005,6567.435,23297.14242752754
,,January,-79652.55866097612,-614617.1786332529,-3732.9947800649097,445953.40666409594,0.5859132749893581,12203.794,26648.361972289782
,,February,-106003.36244525318,-713717.5586629149,-3076.2476450667164,511939.44661565125,-0.7013816452324684,14382.212,21613.161410672838
,,March,-119695.23759581847,-821185.4208744274,-4221.425133199024,591192.2862865829,1.5459000373007736,15612.554,37840.71191051239
,,April,-126087.97976958135,-874099.1319036665,-1084.3332236530841,625709.0947492406,-4.207010510879117,16478.672,36610.56102415965
,,May,-96184.56549187785,-911636.9292035585,788.1562932204688,679680.9393125994,-6.301295401040457,17425.197,120899.35802712855
,,June,-62591.27967075119,-977882.340280905,-1230.4982876474387,773658.5034858948,-3.185257141794589,18717.105,179372.18197103875
,,July,-33763.12008589145,-1060973.3249700537,-964.6558673575928,875026.9567769951,-0.49355866001504767,19478.724,282409.5390680887
,2020/21,August,24889.85604960317,-73273.8115854467,-3091.57543880048,92742.76005228114,22.998606982151813,1393.551,51464.94637282446
,,September,25158.398151383648,-152606.6489998929,-6520.4614861571645,165770.46622422652,8.098431329817002,2441.545,67626.04829244644
,,October,33380.32927244913,-251573.2527565107,-11942.857281447643,258940.9954521871,12.650653201782823,2922.006,101086.449607609
,,November,19011.97710239928,-348950.9846212854,-17508.948744550034,337818.0018646681,11.248690472136836,3745.022,110647.476634963
,,December,-22996.52137731627,-459211.2152145357,-23552.973012629434,416961.6230000387,10.988538996303454,4500.822,106480.945755617
,,January,-51680.63588968152,-581726.0663386454,-28523.092496202677,495471.41065841983,11.10385149084021,7659.175,124917.34759098101
