,Table 17,,,,,,,,,
,Exports of Major Commodities to Other Countries,,,,,,,,,
,(Rs. in million),,,,,,,,,
,S.N.,Heading,2023/24R,,2024/25R,,2025/26P,Percent Change,,
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,2024/25,2025/26,
,,A. Major Commodities,24714.3807854,20254.8306335,23836.9446475,18948.177443,21155.1311299,-6.451069446805901,11.64731380386832,
,1,Handicraft ( Metal and Wooden ),327.8905147,283.9775805,291.5882262,248.5180439,206.8389289,-12.486738050787771,-16.771061910004025,
,2,Herbs,578.6091856,494.7817915,333.239197,277.80639180000003,440.04195419999996,-43.85274547840752,58.39878677694266,
,3,"Musical instruments, parts and accessories",863.6926821000001,706.3663815,1050.6698033999999,831.5084432000001,896.2893831,17.716310540467028,7.790773554949748,
,4,Nepalese Paper & Paper Products,640.8285005,541.2818656000001,641.0079192999999,532.3419858,534.1930001000001,-1.6516126565759626,0.3477114992570751,
,5,Noodles,892.3837284,749.5267376,956.2915081,680.9012369,1382.6116362,-9.155844249097822,103.0561205167933,
,6,Other handicraft goods,461.2329813,395.3837552,224.53313409999998,188.022092,121.41483640000001,-52.445670939391185,-35.425228435390444,
,7,Pashmina,2880.19236,2237.6048728,3070.8513496,2348.9347391,2827.111844,4.975403282916924,20.357189875918593,
,8,Pulses,358.7014126,216.0144762,170.0234299,91.18455209999999,119.3660991,-57.78775862429909,30.906054096853985,
,9,Readymade Garments,5934.7950391,4953.1272717,5462.9935194,4332.156969600001,4946.5620264,-12.536934103186725,14.18242831715142,
,10,Readymade Leather Goods,375.22351210000005,269.5185697,236.98324209999998,200.9228661,153.31478859999999,-25.451197546927318,-23.694703556689912,
,11,Silverware and Jewelleries,417.9476294,321.65461830000004,439.4256861,335.4402012,393.23452910000003,4.285833970878183,17.229398173876387,
,12,Tanned Skin,286.41513360000005,213.09078309999998,325.2060358,259.3152847,279.35102639999997,21.692398388863033,7.726402137528909,
,13,Tea,517.3674365,438.61843519999996,577.6570469,474.2238187,588.0222355,8.117621295093258,23.996773741133048,
,14,Woolen Carpet,10179.1006695,8433.8834946,10056.4745496,8146.900817899999,8266.778841899999,-3.4027346581648743,1.4714555470788149,
,,B. Others,21900.556417199998,17619.609697199994,25878.831530699994,20508.741617599997,22043.178013900004,16.39725266365648,7.481865171986946,
,,Total (A+B),46614.9372026,37874.440330699996,49715.776178199994,39456.9190606,43198.309143800005,4.178223403653281,9.482215470127775,
,"R= Revised, P= Provisional",,,,,,,,,
