,Annex 8,,,,,,,,,,,,,,
,Direction of Foreign Trade (Annual Series),,,,,,,,,,,,,,
,Fiscal Year,Nepali Year,Rs. in million,,,,Ànnual Percent Change,,,,As percent of GDP,,,,
,,,Exports,Imports,Trade Balance,Total Trade,Exports,Imports,Trade Balance,Total Trade,Exports,Imports,Trade Balance,Total Trade,
,1994/95,2051/52,17639.2,63679.5,-46040.3,81318.7,-8.57391646884426,23.479759864109155,-42.63943192450446,14.752865339621394,8.047998174974335,29.05418044941257,-21.006182274438235,37.10217862438691,
,1995/96,2052/53,19881.1,74454.5,-54573.4,94335.6,12.709760079822203,16.92067305804852,-18.533980013162378,16.007265241574203,7.987168207365625,29.911856753162752,-21.924688545797128,37.89902496052838,
,1996/97,2053/54,22636.5,93553.4,-70916.9,116189.9,13.859394097912102,25.651773902181844,-29.94774010781808,23.166545821513807,8.069679480095397,33.35082509545012,-25.28114561535472,41.420504575545515,
,1997/98,2054/55,27513.5,89002,-61488.5,116515.5,21.54485013142491,-4.865028956724174,13.29499738426242,0.28023089786634614,9.145407103325633,29.584005052435643,-20.438597949110008,38.729412155761274,
,1998/99,2055/56,35676.3,87525.3,-51849,123201.6,29.668344630817614,-1.6591761982876676,15.676915195524366,5.738378155696026,10.430568712065398,25.589499350945516,-15.158930638880118,36.02006806301091,
,1999/00,2056/57,49822.7,108504.9,-58682.2,158327.59999999998,39.65209396714343,23.96975503083108,-13.179039132866588,28.51099336372252,13.128926342861961,28.592445610928408,-15.463519268066447,41.72137195379037,
,2000/01,2057/58,55654.1,115687.2,-60033.1,171341.3,11.704303460069411,6.6193323988133415,-2.302060931594251,8.219476578941396,12.605142700540634,26.202088698334613,-13.59694599779398,38.80723139887524,
,2001/02,2058/59,46944.8,107389,-60444.2,154333.8,-15.64898183601926,-7.172962955279402,-0.6847888914615413,-9.926094876133192,10.21776368341666,23.373737329766694,-13.155973646350036,33.59150101318335,
,2002/03,2059/60,49930.6,124352.1,-74421.5,174282.7,6.360235851468104,15.795938131465988,-23.124303076225683,12.925814047214558,10.143733328457573,25.262955807334365,-15.119222478876788,35.406689135791936,
,2003/04,2060/61,53910.7,136277.1,-82366.40000000001,190187.8,7.971264114591065,9.589705360826244,-10.675544029615109,9.126034884701667,10.043931148451138,25.389353310392753,-15.345422161941617,35.433284458843886,
,2004/05,2061/62,58705.7,149473.6,-90767.90000000001,208179.3,8.894338229702086,9.683578532269905,-10.20015443190427,9.459860201337847,9.96004492612977,25.359782291504075,-15.399737365374309,35.31982721763384,
,2005/06,2062/63,60234.1,173780.3,-113546.19999999998,234014.4,2.603495060956604,16.261533809314813,-25.095105207898357,12.41002347495646,9.208924236030846,26.56849884724286,-17.359574611212015,35.77742308327371,
,2006/07,2063/64,59383.1,194694.6,-135311.5,254077.7,-1.412820976822104,12.03490844474318,-19.168673192057526,8.57353222707664,8.15895847881416,26.75012179305781,-18.59116331424365,34.90908027187197,
,2007/08,2064/65,59266.5,221937.7,-162671.2,281204.2,-0.19635216079994677,13.99273528901162,-20.219789153176198,10.67645842197092,7.266095029139899,27.209644887900286,-19.943549858760388,34.47573991704018,
,2008/09,2065/66,67697.5,284469.6,-216772.09999999998,352167.1,14.22557431263867,28.175429411046423,-33.25782314263371,25.235362771964276,6.850091109019925,28.784558923836983,-21.93446781481706,35.63465003285691,
