,Table 19,,,,,,,,,
,Imports of Major Commodities from India,,,,,,,,,
,(Rs. in million),,,,,,,,,
,S.N.,Heading,2023/24R,,2024/25R,,2025/26P,Percent Change,,
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,2024/25,2025/26,
,31,Petroleum Products,297637.6605588,243330.63537499998,284489.5864021,231579.84412769997,265465.26003149996,-4.829145836565429,14.63228202412752,
,32,Pipe and Pipe Fittings,5196.3123264,4354.327131800001,3863.4002564,3092.4917209,3184.7143029,-28.978884055006237,2.982144830873157,
,33,Plastic Utensils,4817.6553324,3884.7485712,5161.312067899999,4238.5937279,4667.7718677,9.108572928587177,10.125484237259874,
,34,Polypropylene Granuals,5954.233579600001,4927.5029077,7477.1322392,6164.6277868,5924.2287093,25.10652763221706,-3.899652757864047,
,35,"Radio, TV, Deck & Parts",1281.5958739,1076.0483794000002,1349.6850497,1075.9631863,1182.1114695,-0.007917218373365564,9.865419612079918,
,36,Raw Cotton,162.48332969999998,146.2725155,97.883215,81.6432683,48.739727200000004,-44.18413601426031,-40.30159716180789,
,37,Readymade Garments,9391.8106481,8149.417124899999,9958.3624864,8684.952071799999,9292.0462977,6.571450923326871,6.990185102704638,
,38,Rice/Paddy,22098.2887557,19387.0806233,39817.522315,35179.9578995,35236.0307557,81.46083251554452,0.15938863929338964,
,39,Salt,2507.7990748,2056.4734549,2374.1880277,2039.8814525999999,2101.0332504000003,-0.8068182091271803,2.9978113542851847,
,40,Sanitaryware,3241.870606,2659.2456226,3725.5246424,3049.9921244,3425.2979378,14.693885306388488,12.305140409955339,
,41,Shoes and Sandles,1050.4912448,941.7549981000001,837.6844264,731.633156,752.9023282,-22.31173102600177,2.907081510122267,
,42,Steel Sheet,277.8415577,270.425972,105.0823085,104.52868559999999,51.1763318,-61.34665438125892,-51.04087312851468,
,43,Tea,28.031557,21.9234131,79.0863604,50.3083976,35.952279700000005,129.47338249991736,-28.536225729439636,
,44,Telecommunication Equipments and Parts,9756.2940649,8195.762420699999,10460.3842515,8695.4138849,9477.9828524,6.096461055752811,8.999789749616971,
,45,Textiles,10898.033675300001,9202.194184599999,10605.6128671,8808.9105009,9465.0840093,-4.273803353967098,7.448974630097105,
,46,Thread,12882.487290500001,10571.7186745,15959.9040062,13335.0509498,15998.4851113,26.138912322415674,19.973183241118008,
,47,Tobacco,3594.8232835,2550.6206615,3832.438299,2989.5998395,3407.3555094000003,17.210680703175974,13.973631667369514,
,48,"Tyre, Tubes and Flapes",11128.484043,8884.1992637,12057.8051615,9558.809751,10323.6174015,7.5933741159588175,8.00107618440662,
,49,Vegetables,11268.3915496,10083.7939268,13888.836364,12195.8809341,16648.973590100002,20.945360671112525,36.51308732892791,
,50,Vehicles & Spare Parts,51904.586915199994,42685.5699587,67254.106184,52618.8046199,70671.84422839999,23.270708744924363,34.309102494647846,
,51,"Wire Products,Notbolt,Handles, Lock",3432.0066823,2798.6978313000004,3696.4539999,2993.9081213000004,3435.7646406,6.975039885221346,14.758519680561832,
,,B. Others,212533.9279891001,175604.90170910012,222920.89505829988,183719.33096079982,199527.28734290006,4.620844391429202,8.604405589454922,
,,Total (A+B),996682.1641384,815729.5569284001,1071198.9399096998,880523.9926496,974297.75821,7.943127127228422,10.649768358750089,
,"R= Revised, P= Provisional",,,,,,,,,
