Annex 4,,,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSIC),,,,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,"Agriculture, forestry & fishing",% Growth,Manufacturing,% Growth,Construction,% Growth,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,% Growth,Transportation and Storage,% Growth,Accommodation and Food Service Activities,% Growth,Information and communication,% Growth,Financial and insurance activities,% Growth,Public Administartion and Defence,% Growth,Education,% Growth,Human Health and Social Work Activities,% Growth,Overall Index,% Growth
2004 October,2061 Asojh,12.78479913664921,-,16.64090340669592,-,16.79629768499508,-,-,-,-,-,-,-,17.27605282549618,-,8.597543569720884,-,15.124028711116345,-,17.261735437921153,-,-,-,14.77558300535857,-
2005 January,2061 Poush,12.896701566177594,-,16.561697848317767,-,16.83124816439044,-,-,-,-,-,-,-,17.285465403667676,-,8.656514804048772,-,15.124028711116345,-,17.4746153126859,-,-,-,14.83536375969576,-
2005 April,2061 Chaitra,12.957056282646873,-,16.594777007993333,-,16.935535407317055,-,-,-,-,-,-,-,17.34057772637713,-,8.668625628051728,-,15.124028711116345,-,17.532555078793507,-,-,-,14.892683281312106,-
2005 July,2062 Asadh,12.807339583231608,-,16.625458376836622,-,16.956064915024648,-,-,-,-,-,-,-,17.349965207862514,-,8.670397879387712,-,15.124028711116345,-,17.682565250643943,-,-,-,14.823975944536475,-
2005 October,2062 Asojh,13.320900077385645,4.193268388547725,16.89807977174105,1.5454471356503856,16.842391375451143,0.27442768234122433,-,-,-,-,-,-,17.27605282549618,0,8.781066916112547,2.134602109351346,15.124028711116345,0,17.261735437921153,0,-,-,15.101240351441684,2.204023665022285
2006 January,2062 Poush,13.83502621924505,7.275694860833804,17.20498763882653,3.8842019483775627,16.87416256426312,0.25496861227126244,-,-,-,-,-,-,17.285465403667676,0,9.520394581886753,9.97953330402592,15.124028711116345,0,17.4746153126859,0,-,-,15.47182865569393,4.290187327440513
2006 April,2062 Chaitra,13.901097934662252,7.285926922149093,17.475899280782457,5.309636112402759,17.29333410767015,2.1127097062340825,-,-,-,-,-,-,17.34057772637713,0,9.533714009604477,9.979533304025923,15.124028711116345,0,17.532555078793507,0,-,-,15.625666221154665,4.921765446810605
2006 July,2063 Asadh,14.083677734885644,9.965677441122276,17.508209718665626,5.309636112402736,17.770924972352283,4.805714423784694,-,-,-,-,-,-,17.349965207862514,0,9.535663123352766,9.979533304025916,15.124028711116345,0,17.682565250643943,0,-,-,15.743558084002176,6.203343441100379
2006 October,2063 Asojh,14.580926635128765,9.459019664010672,17.892662370617657,5.88577289438452,18.068033647327443,7.277127366026842,-,-,-,-,-,-,18.230918947652192,5.527108140968468,9.74178818654478,10.940826207227584,16.77429619761415,10.911560127394075,18.473108672878986,7.017679301796317,-,-,16.30611905542349,7.978673777394582
2007 January,2063 Poush,15.312377523312762,10.678341194703773,18.858063247097547,9.608118546627246,18.218583137027878,7.967332112895686,-,-,-,-,-,-,18.24085176919808,5.527108140968473,9.8086078855975,3.027325193633182,16.77429619761415,10.911560127394075,18.700927774552785,7.017679301796306,-,-,16.967305984888778,9.665808499271895
