,Table 14,,,,,,,,,
,Exports of Major Commodities*,,,,,,,,,
,(Rs. in million),,,,,,,,,
,S.N.,Heading,2023/24R,,2024/25R,,2025/26P,,,
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,Share in Total Export,Percent Change,
,1,Soyabean Oil,901.80475119,860.86178062,106790.81951367,78756.62498748,101268.81474019,40.67630484447662,28.58450289901171,
,2,Cardamom,7936.6196,6915.1996,7674.036648,6662.544648,11413.67852,4.584493933966463,71.3110999327595,
,3,Polyster Yarn & Thread,11210.11029993,9055.544729270001,13579.981406129999,11012.41547832,11352.317513450002,4.559847264462183,3.086534791564688,
,4,Woolen Carpet,10570.74082365,8797.911892290002,10773.44227598,8843.64910132,8480.27882078,3.406245124574456,-4.1088274351111735,
,5,Jute Goods,6755.77635595,5743.35926529,8222.942049899999,6653.29250867,7693.33779356,3.0901571640315275,15.632039077414728,
,6,Palm Oil,6336.47867752,6318.23766472,2414.30063274,1932.6676151099998,6609.817129380001,2.6549430563662173,242.00485782982378,
,7,Juice,8658.685443819999,7138.74893287,7703.7818968500005,6614.75536447,6434.22838721,2.5844149157724017,-2.7291557633358554,
,8,Readymade Garments,6294.50400611,5257.6330655500005,5810.18769044,4638.73626131,5198.70963836,2.088148247714481,12.071679558946524,
,9,Particle Board,7415.3222473900005,5996.4034824,7099.64760608,6190.06923975,4481.53419731,1.8000827959565628,-27.601226678831182,
,10,Tea,3611.64468003,2890.19525509,4567.96836901,3963.55901989,3309.07207648,1.3291438719863622,-16.51260748548571,
,11,Noodles,1966.21540384,1639.3556705199999,2377.2074131199997,1828.0226326400002,3108.82062542,1.248709543908533,70.06466823281572,
,12,Oil Cakes,2955.78992518,2403.96441718,3629.816606,3032.505956,3063.1470894,1.230364008027215,1.01042285966082,
,13,Pashmina,3024.06343229,2361.67780099,3224.1305091199997,2490.38387595,2971.67260891,1.1936217605401935,19.32588536280995,
,14,Textiles,2542.3917578,2075.70623558,3091.28469079,2517.59485455,2891.9490480500003,1.1615994654916317,14.869516944850659,
,15,Shoes and Sandals,1277.7100393599999,999.78929501,2000.12215384,1485.85091137,2517.39179329,1.0111523104082456,69.42425205829619,
,16,Rosin,1478.58591521,1093.7772112100001,2058.6852523800003,1705.3041003800001,1966.52210442,0.7898863318190299,15.317971966512701,
,17,Herbs,1921.15624217,1618.6126156300002,1939.1100579000001,1516.3020057200001,1636.19164341,0.6572036045062679,7.906712332881982,
,18,Medicine (Ayurvedic),1544.09889844,1317.37188004,1755.00527735,1305.589926,1511.98927805,0.6073156573751612,15.808895882212859,
,19,Zinc sheet,11858.0456901,9430.58739625,10108.48637586,8594.76323124,1206.38888479,0.4845661733535774,-85.96367517833356,
,20,Brans,427.4510943,399.42437889,266.66518119,226.73005319,896.52466024,0.3601040505319599,295.4150090057587,
,A.,TOP 20 Commdities,98687.19528428,82314.3625694,205087.62160635,159971.36177135998,188012.38655270002,75.5183041252691,17.528777945528674,
,B.,Others,53693.410336019995,43858.54700600001,71942.58042655,57939.69801884002,60950.28379650001,24.481695874730903,5.196067429762996,
,C.,Total Exports (A+B),152380.6056203,126172.9095754,277030.2020329,217911.0597902,248962.67034920002,100,14.249671672881515,
,D.,Other Exports**,,,,,,,,
,,Electricity,16736.299994172,13139.6,17459.907279400002,13103.3,20995.22347035,,,
,,Aviation Fuel,13245.12157276363,11031.854248471192,14148.550714162518,12155.04762689939,12393.488697118977,,,
,"* Top 20 exports are selected from export of major commodities to India, China and Other Countries based on Four Months data of FY 2023-24",,,,,,,,,
,** Not included in customs data,,,,,,,,,
,"R= Revised, P= Provisional",,,,,,,,,
