Annex 13,,,,,,,,,,,,
Government Budgetary Operations,,,,,,,,,,,,
(Growth rate in Percent),,,,,,,,,,,,
Fiscal Year,Nepali Year,Expenditure,,,,Revenue,Foreign Assistance,,,Domestic Loan,,
,,Recurrent,Capital,Financial*,Total,,Foreign Grants,Foreign Loan,Total,,,
2013/14,2070/71,22.66115699393383,22.155038355044113,14.565399113885348,21.306798398163053,22.48055178473203,19.801304605574742,50.377304578201716,27.55503172053848,4.936444666516664,,
2014/15,2071/72,11.776784665472135,33.07604962533247,59.361319104430635,22.1324464201396,13.302798275755421,-9.551910513838322,41.84970407790507,5.815167816686937,112.01921943742389,,
2015/16,2072/73,9.345958082607893,37.852326661927606,4.246912002787795,13.116248396462197,17.819859264813147,3.5878737189453744,34.955521227294525,16.1590814269059,107.17378510520473,,
2016/17,2073/74,39.793192160604264,70.6159921137997,2.032396827852608,39.30161821456201,26.24654416449708,-19.24859311619184,68.36897931359854,21.54798686218551,0.641627014401621,,
2017/18,2074/75,34.38109978841695,29.683582324068965,8.885054521429097,29.863680626663296,18.628887646456278,23.13143744734954,58.98626169996379,46.25711404598127,63.86084310549174,,
2018/19,2075/76,2.7977402271366856,-10.768276596271264,27.43947592326066,2.1316682116536896,15.541704232840942,-41.761299330852744,34.84642648431631,11.949549757737302,-33.41526719350276,,
2019/20,2076/77,9.474055355423985,-21.701381630012946,-22.675813401365446,-1.7221736886549053,0.1965791230970524,3.581426019817698,-6.214074654766932,-4.691005437587265,101.94882861945177,,
2020/21,2077/78,7.895777003292423,20.98761711556672,3.1560216315978664,9.652680744311738,16.04598766807817,53.80794981196351,48.27024816557062,49.20602125778433,15.08288639387365,,
2021/22,2078/79,12.774437487865114,-5.516218813377776,14.675233057014083,9.469965136762141,14.087654999531907,-24.651740338912447,-24.431939736869197,-24.47022770420226,3.8551339285714192,,
2022/23,2079/80,3.897018264794255,8.515584169314508,39.954112324425864,8.498170382796701,-9.264940429510844,-14.937009105758477,-8.289311794915747,-9.444518550502366,10.597737662566558,,
2023/24R,2080/81R,-6.291445130930526,-18.15554024979457,39.47449581291363,-1.9647204313096296,7.1309079859508415,-0.39944915362968914,-0.6690305356248984,-0.6250253067881033,-8.839066950238177,,
2024/25P,2081/82P,5.516524874005341,15.963815580484876,17.555550494806596,9.308513883073772,10.480108563647633,1.0301088935454032,5.326643042346532,4.623704485310199,40.692422348384724,,
"*Before 2004/05, Expenditure was classified as regular and development expenditure. Principal repayments used to be one of the components of regular expenditure. While constructing this series, principal repayments has been disaggregated from regular expenditure from 1974/75 (2031/32) to 2009/10.",,,,,,,,,,,,
"Note: Government budgetary operation has been reported as per the Government Finance Statistics, 2001 from the fiscal year 2009/10 that  may not be consistent with the previous reporting.",,,,,,,,,,,,
R=Revised Estimate from Budget Speech 2025/26 and this might differ from data presented in the table 32 and 33.,,,,,,,,,,,,
P= Preliminary Estimate,,,,,,,,,,,,
Source: Economic Survey and Budget Speeches,,,,,,,,,,,,
