Annex 5,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSCO),,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,Others,% Growth,Managers,% Growth,Professionals,% Growth,Technicians And Associate Professionals,% Growth,Clerical Support Workers,% Growth,Service And Sales Workers,% Growth,"Skilled Agricultural, Forestry & Fishery Workers",% Growth,Craft And Related Trades Workers,% Growth,Plant And Machine Operators & Assemblers,% Growth,Elementary Occupations,% Growth,Overall Index,% Growth
2007 April,2063 Chaitra,17.985238339724297,9.999999999999975,-,-,20.055625625719003,6.482963850543401,24.450978048816967,3.1122268950218532,18.389967551420394,6.191695470797205,-,-,-,-,18.449960604910085,7.462378713280833,-,-,15.961284879061092,11.548094316044011,17.099884770580502,9.434596442550268
2007 July,2064 Asadh,17.985238339724297,9.999999999999975,-,-,20.205343154272583,6.482963850543406,23.857058326117805,0.5985548435063324,18.253472701507064,4.937572355718541,-,-,-,-,19.92049365364708,15.500427479568193,-,-,16.54373832262218,14.150140782969961,17.691176820417287,12.370893072730391
2007 October,2064 Asojh,20.475913470255367,13.848441057519231,-,-,23.380396241611557,18.075765863245614,25.55286722127868,5.243163199936323,19.655996293491107,8.216819600244513,-,-,-,-,20.127527787585866,13.804676272744148,-,-,16.698654203758895,11.862885023093254,18.25266330309244,11.937507883100608
2008 January,2064 Poush,20.475913470255367,13.848441057519231,-,-,23.6090966965636,18.0757658632456,25.609376965230894,5.243163199936328,19.865873442676605,8.216819600244536,-,-,-,-,19.992611816684324,9.821102699429515,-,-,17.071560578463856,8.08766620059286,18.50866831451231,9.084307968491176
2008 April,2064 Chaitra,20.475913470255367,13.848441057519231,-,-,23.680833556233058,18.075765863245614,25.73298273189705,5.243163199936332,19.901038009664113,8.216819600244522,-,-,-,-,20.361220674459375,10.359155287522109,-,-,17.253640609092795,8.096815136274449,18.67029612147984,9.183753995823132
2008 July,2065 Asadh,20.475913470255367,13.848441057519231,-,-,23.857613674704222,18.075765863245614,25.735298480376176,7.872890817398661,19.98940231331179,9.510133442505989,-,-,-,-,20.58623060211398,3.3419701340835806,-,-,18.838159330703693,13.868818300541449,19.672002487117954,11.196686838914005
2008 October,2065 Asojh,20.475913470255367,0,-,-,23.380396241611557,0,25.55286722127868,0,19.655996293491107,0,-,-,-,-,20.938063502266136,4.027000847963989,-,-,19.161638686006295,14.749598693366424,19.898537607787304,9.017173424855832
2009 January,2065 Poush,26.2873030393503,28.38158882404407,-,-,25.707947731519152,8.890009905635429,26.26139376812354,2.5460080648501155,22.625044840002484,13.88900118229146,-,-,-,-,21.641958581873425,8.24978137079959,-,-,20.29987675188668,18.91049244493449,21.35864645491636,15.39807236250182
2009 April,2065 Chaitra,26.2873030393503,28.38158882404407,-,-,26.982426404789546,13.942046595262154,26.665671623654326,3.624488080043562,23.657790269892132,18.877167404050525,-,-,-,-,23.292518083242907,14.396471879804738,-,-,21.338912996038367,23.67774129242384,22.453597204585936,20.263744391035534
2009 July,2066 Asadh,26.2873030393503,28.38158882404407,-,-,27.18385328974912,13.942046595262154,26.668071306161046,3.6244880800435744,23.762835251064804,18.877167404050525,-,-,-,-,23.69851335272929,15.118274009306559,-,-,22.56662571912823,19.79209498641214,23.266736790697255,18.273352221937156
