Table 50,,,,,,,,,,,,,,,,,,,
Loan of  Commercial Banks to Government Enterprises,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,
A.  Non-Financial,5808.65568753077,3404.8213453139815,5078.415710749999,23558.365342569996,-2403.834342216788,-41.38366037734018,18479.949631819996,363.89202232305655,,,,,,,,,,,
1. Principal,5808.59393528,3402.1329827299996,5077.790775899999,23558.340007519997,-2406.46095255,-41.42931971769856,18480.549231619996,363.9486155934509,,,,,,,,,,,
1.1 Industrial,183.66247018,200.63661801,249.38216526999997,6759.394813999999,16.974147829999993,9.242033940502015,6510.0126487299995,2610.45638194767,,,,,,,,,,,
1.2 Trading,4010.2939424100005,1590.7832652399998,3019.62264909,6097.42383139,-2419.5106771700007,-60.33250210372327,3077.8011822999997,101.92668223718393,,,,,,,,,,,
1.3 Service,295.31721896999994,445.63850033999995,586.4459148399998,1041.18295476,150.32128137,50.90163109834464,454.73703992000026,77.54117275146615,,,,,,,,,,,
1.4 Other Corporations,1319.3203037199996,1165.07459914,1222.3400467,9660.33840737,-154.2457045799997,-11.691300751234053,8437.99836067,690.315136401724,,,,,,,,,,,
1.4.1 Public Utilities,0,0,0,0,0,-,0,-,,,,,,,,,,,
1.4.2 Others,1319.3203037199996,1165.07459914,1222.3400467,9660.33840737,-154.2457045799997,-11.691300751234053,8437.99836067,690.315136401724,,,,,,,,,,,
2. Interest,0.06175225077,2.6883625839817125,0.6249348499999999,0.02533505,2.6266103332117123,4253.464935221036,-0.5995997999999999,-95.94596940785107,,,,,,,,,,,
B. Financial,618.44459357,490.33706355,700.08065743,1823.3241293700003,-128.10753002000007,-20.714471652261267,1123.2434719400003,160.444865890658,,,,,,,,,,,
1. Principal,618.44459357,489.50260218,700.05458052,1823.3241293700003,-128.94199139000006,-20.84940069500429,1123.2695488500003,160.45456741610585,,,,,,,,,,,
2. Interest,0,0.83446137,0.02607691,0,0.83446137,-,-0.02607691,-100,,,,,,,,,,,
C. Total,6427.100281100769,3895.1584088639815,5778.496368179998,25381.689471939997,-2531.9418722367877,-39.39477776131948,19603.19310376,339.2438422512022,,,,,,,,,,,
1. Principal,6427.03852885,3891.6355849099996,5777.845356419999,25381.66413689,-2535.4029439400006,-39.44900800826013,19603.81878047,339.292895035472,,,,,,,,,,,
2. Interest,0.06175225077,3.5228239539817126,0.6510117599999999,0.02533505,3.4610717032117124,5604.770125873927,-0.6256767099999999,-96.10835755102181,,,,,,,,,,,
"R= Revised, P = Provisional",,,,,,,,,,,,,,,,,,,
