,Table 21,,,,,,,,
,Imports of Major Commodities from Other Countries,,,,,,,,
,(Rs. in million),,,,,,,,
,S.N.,Heading,2023/24R,,2024/25R,,2025/26P,Percent Change,
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,2024/25,2025/26
,49,Tello,15.9721216,13.455770800000002,10.439985,10.439985,2.773898,-22.4125830086226,-73.43005761023603
,50,Textile Dyes,194.1227593,145.5310766,190.46032369999998,151.7179674,199.0587649,4.25125062257663,31.203158275372477
,51,Textiles,285.40918759999994,255.86694469999998,343.6420568,280.2030002,252.92600660000002,9.51121510773254,-9.7347257454526
,52,Thread,5350.3096365,4626.778431500001,6566.322635099999,5315.8491929,4534.111914900001,14.893100493178423,-14.705783584758391
,53,Toys,367.5664984,315.987112,418.7695686,351.030694,304.6415868,11.090193450674635,-13.215114231577695
,54,Transport Equip.& Parts,7380.5888826,6129.135598399999,8575.7299045,6603.0675378999995,9779.6157451,7.732443374620712,48.107159119112254
,55,"Tyre, Tubes and Flapes",575.7251805,485.21527089999995,640.8434254,534.6649162,376.4737503,10.191279678456633,-29.586973281191696
,56,Video Television & Parts,1758.3973237999999,1442.142772,2893.6167178,2353.4402569,2340.526265,63.19051779014846,-0.5487282654461967
,57,Watches & Bands,932.148474,701.3580305,842.443338,695.3927067999999,593.5930821000001,-0.8505390172473537,-14.63915622130305
,58,Writing & Printing Paper,2331.9262111999997,2114.9420995,1521.676379,1311.3711623,1195.1133140999998,-37.99493789404328,-8.86536562204836
,59,X-Ray Film,521.2122957,477.0847695,593.3251325,476.4227055,340.8790858,-0.1387728224260587,-28.45028545769006
,60,Zinc Ingot,387.65352310000003,356.8129576,235.24023430000003,157.5086133,165.1000162,-55.856812387241625,4.8196747726684475
,,B. Others,68609.8811615,56821.25027149997,66460.36774820008,55777.19551079994,54879.24977459991,-1.8374371484460306,-1.6098796792788916
,,Total (A+B),297528.7225998,246795.1462216,391819.1977492,316519.5609611,381935.690131,28.251939232586707,20.667325890149215
,"R= Revised, P= Provisional",,,,,,,,
