Table 47,,,,,,,,,,,,,,,,,,,,,
Sectorwise Outstanding Credit of Banks and Financial Institutions,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,
8.2 Wholesale Business - Non Durable Commodities,128454.91473176301,136579.80888645,129858.843949463,135461.7905541895,8124.8941546869755,6.325094039144565,5602.946604726501,4.3146438350452225,,,,,,,,,,,,,
8.3 Automative Dealer/ Franchise,90478.3904457741,103038.82979177803,101834.28979737802,103587.81256372802,12560.439346003928,13.882253302827824,1753.5227663499973,1.7219374435065251,,,,,,,,,,,,,
8.4 Other Retail Business,463895.90945582243,470768.53908546874,467960.55284238566,452376.24343652325,6872.6296296463115,1.48150252881262,-15584.309405862412,-3.3302613460052437,,,,,,,,,,,,,
8.5 Import Business,122005.63522722563,144441.67147426,143335.10082906007,151075.62711004002,22436.036247034353,18.38934423418152,7740.526280979946,5.400300579696257,,,,,,,,,,,,,
8.6 Export Business,2614.2262493964,2511.4748011364,2603.9763830064003,2973.3880629063997,-102.75144825999996,-3.9304726698281867,369.4116798999994,14.18644509646044,,,,,,,,,,,,,
"9. Finance, Insurance, and Fixed Assets",396069.9251337701,425774.5860253736,440737.95840602374,445075.4276913138,29704.660891603504,7.499852679188137,4337.469285290048,0.984137899303471,,,,,,,,,,,,,
9.1 Commercial Banks,0,0,0,0,0,-,0,-,,,,,,,,,,,,,
9.2 Finance Companies,0,0,0,161,0,-,161,-,,,,,,,,,,,,,
9.3 Development Banks,0,0,0,0,0,-,0,-,,,,,,,,,,,,,
9.4 Microfinance Financial Institutions,195453.75064368002,190251.48498362,204612.77218458004,187625.13225587,-5202.265660060017,-2.661635114664008,-16987.639928710036,-8.3023360405799,,,,,,,,,,,,,
9.5 Saving and Credit Cooperatives,1209.0438282700002,382.49504572,383.78185540999993,563.9334756,-826.5487825500002,-68.36383952537886,180.15162019000002,46.94115098212273,,,,,,,,,,,,,
9.6 Pension Fund and Insurance Companies,29.006293820000014,169.92036503,1446.98071562,6268.49572012,140.91407120999997,485.805156923698,4821.515004500001,333.2121121209335,,,,,,,,,,,,,
9.7 Other Financial Institutions,6525.520383629999,11037.273180103602,9786.290110023603,15797.332338993605,4511.752796473604,69.1401226451126,6011.042228970002,61.42309456791184,,,,,,,,,,,,,
